Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
953835,,High,7.5,REPO-MARKETING-SITE,10.20.112.1,marketing-site.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Third-Party API Token Committed to Repository (CWE-798),A secret-scanning alert flagged a third-party service API token (matching a known vendor token format) committed in plaintext.,Revoke the exposed token via the issuing vendor's dashboard and move it to a secrets manager.,0,tcp,2026-07-08,2026-08-01
959092,,Critical,9.8,REPO-SEARCH-SERVICE,10.20.112.2,search-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Private Key (PEM) Committed to Repository (CWE-798),A secret-scanning alert flagged a PEM-encoded private key block committed in plaintext to a repository file.,"Revoke the exposed key pair, issue a new key, purge it from git history, and store private keys outside version control.",0,tcp,2026-06-27,2026-08-02
435298,,Critical,9.8,REPO-INFRA-TERRAFORM-MODULES,10.20.112.3,infra-terraform-modules.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Private Key (PEM) Committed to Repository (CWE-798),A secret-scanning alert flagged a PEM-encoded private key block committed in plaintext to a repository file.,"Revoke the exposed key pair, issue a new key, purge it from git history, and store private keys outside version control.",0,tcp,2026-07-16,2026-08-02
562901,,Critical,9.1,REPO-MOBILE-APP-IOS,10.20.112.4,mobile-app-ios.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded AWS Access Key Committed to Repository (CWE-798),A GitHub/GitLab secret-scanning alert flagged an AWS access key ID pattern committed in plaintext to a repository file.,"Revoke and rotate the exposed access key immediately, purge it from git history, and move credential storage to a secrets manager.",0,tcp,2026-07-06,2026-08-01
121524,,High,8.2,REPO-AUTH-SERVICE,10.20.112.5,auth-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-06-25,2026-08-01
682041,,Critical,9.8,REPO-NOTIFICATION-SERVICE,10.20.112.6,notification-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Private Key (PEM) Committed to Repository (CWE-798),A secret-scanning alert flagged a PEM-encoded private key block committed in plaintext to a repository file.,"Revoke the exposed key pair, issue a new key, purge it from git history, and store private keys outside version control.",0,tcp,2026-06-20,2026-08-01
875507,,High,8.2,REPO-CUSTOMER-PORTAL-FRONTEND,10.20.112.7,customer-portal-frontend.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-06-11,2026-08-01
618993,,Critical,9.1,REPO-MICROSERVICE-TEMPLATE,10.20.112.8,microservice-template.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded AWS Access Key Committed to Repository (CWE-798),A GitHub/GitLab secret-scanning alert flagged an AWS access key ID pattern committed in plaintext to a repository file.,"Revoke and rotate the exposed access key immediately, purge it from git history, and move credential storage to a secrets manager.",0,tcp,2026-06-20,2026-08-03
547237,,High,7.5,REPO-REPORTING-SERVICE,10.20.112.9,reporting-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Third-Party API Token Committed to Repository (CWE-798),A secret-scanning alert flagged a third-party service API token (matching a known vendor token format) committed in plaintext.,Revoke the exposed token via the issuing vendor's dashboard and move it to a secrets manager.,0,tcp,2026-07-08,2026-08-03
646965,,Critical,9.1,REPO-HR-PORTAL-BACKEND,10.20.112.10,hr-portal-backend.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded AWS Access Key Committed to Repository (CWE-798),A GitHub/GitLab secret-scanning alert flagged an AWS access key ID pattern committed in plaintext to a repository file.,"Revoke and rotate the exposed access key immediately, purge it from git history, and move credential storage to a secrets manager.",0,tcp,2026-07-31,2026-08-01
500724,,High,7.5,REPO-NOTIFICATION-SERVICE,10.20.112.11,notification-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Third-Party API Token Committed to Repository (CWE-798),A secret-scanning alert flagged a third-party service API token (matching a known vendor token format) committed in plaintext.,Revoke the exposed token via the issuing vendor's dashboard and move it to a secrets manager.,0,tcp,2026-07-14,2026-08-03
868686,,High,7.5,REPO-API-GATEWAY-CONFIG,10.20.112.12,api-gateway-config.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Third-Party API Token Committed to Repository (CWE-798),A secret-scanning alert flagged a third-party service API token (matching a known vendor token format) committed in plaintext.,Revoke the exposed token via the issuing vendor's dashboard and move it to a secrets manager.,0,tcp,2026-07-30,2026-08-01
981353,,Critical,9.8,REPO-CHATBOT-SERVICE,10.20.112.13,chatbot-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Private Key (PEM) Committed to Repository (CWE-798),A secret-scanning alert flagged a PEM-encoded private key block committed in plaintext to a repository file.,"Revoke the exposed key pair, issue a new key, purge it from git history, and store private keys outside version control.",0,tcp,2026-06-14,2026-08-03
498645,,High,8.2,REPO-HR-PORTAL-BACKEND,10.20.112.14,hr-portal-backend.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-06-18,2026-08-03
389322,,High,8.2,REPO-NOTIFICATION-SERVICE,10.20.112.15,notification-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-06-11,2026-08-02
924944,,High,8.2,REPO-TEST-AUTOMATION-SUITE,10.20.112.16,test-automation-suite.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-06-27,2026-08-01
841500,,High,7.5,REPO-CHATBOT-SERVICE,10.20.112.17,chatbot-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Third-Party API Token Committed to Repository (CWE-798),A secret-scanning alert flagged a third-party service API token (matching a known vendor token format) committed in plaintext.,Revoke the exposed token via the issuing vendor's dashboard and move it to a secrets manager.,0,tcp,2026-07-07,2026-08-02
542366,,High,8.2,REPO-DOCS-SITE,10.20.112.18,docs-site.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-06-22,2026-08-02
144123,,High,8.2,REPO-DATA-PIPELINE-ETL,10.20.112.19,data-pipeline-etl.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-07-29,2026-08-03
406341,,Critical,9.8,REPO-REPORTING-SERVICE,10.20.112.20,reporting-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Private Key (PEM) Committed to Repository (CWE-798),A secret-scanning alert flagged a PEM-encoded private key block committed in plaintext to a repository file.,"Revoke the exposed key pair, issue a new key, purge it from git history, and store private keys outside version control.",0,tcp,2026-08-02,2026-08-01
923567,,Critical,9.8,REPO-ORDER-SERVICE-BACKEND,10.20.112.21,order-service-backend.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Private Key (PEM) Committed to Repository (CWE-798),A secret-scanning alert flagged a PEM-encoded private key block committed in plaintext to a repository file.,"Revoke the exposed key pair, issue a new key, purge it from git history, and store private keys outside version control.",0,tcp,2026-07-14,2026-08-03
958745,,High,8.2,REPO-INVENTORY-MANAGEMENT,10.20.112.22,inventory-management.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Database Connection String With Embedded Credentials (CWE-798),A connection string containing a plaintext username/password was committed to a configuration file in the repository.,Rotate the exposed database credential and move connection strings to environment variables or a secrets manager.,0,tcp,2026-07-26,2026-08-01
992880,,Critical,9.1,REPO-NOTIFICATION-SERVICE,10.20.112.23,notification-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded AWS Access Key Committed to Repository (CWE-798),A GitHub/GitLab secret-scanning alert flagged an AWS access key ID pattern committed in plaintext to a repository file.,"Revoke and rotate the exposed access key immediately, purge it from git history, and move credential storage to a secrets manager.",0,tcp,2026-06-09,2026-08-03
506012,,Critical,9.8,REPO-AUTH-SERVICE,10.20.112.24,auth-service.github.corp.deloitte.local,GitHub/GitLab Repository (secret-scanning target),Hardcoded Private Key (PEM) Committed to Repository (CWE-798),A secret-scanning alert flagged a PEM-encoded private key block committed in plaintext to a repository file.,"Revoke the exposed key pair, issue a new key, purge it from git history, and store private keys outside version control.",0,tcp,2026-07-25,2026-08-02
