Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
673034,CVE-2017-18342,Critical,9.8,REPO-0001,10.20.111.1,repo-0001.corp.example.local,GitHub Repository - Python (pip: PyYAML),"In PyYAML before 5.1, the yaml.load() API could execute arbitrary code if used with untrusted data. The load()…","In PyYAML before 5.1, the yaml.load() API could execute arbitrary code if used with untrusted data. The load() function has been deprecated in version 5.1 and the 'UnsafeLoader' has been introduced for backward compatibility with the function.",See vendor advisory for CVE-2017-18342 and apply the corresponding patch/update.,443,tcp,2026-07-25,2026-08-01
612700,CVE-2019-20477,Critical,9.8,REPO-0002,10.20.111.2,repo-0002.corp.example.local,GitHub Repository - Python (pip: PyYAML),PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class…,"PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342.",See vendor advisory for CVE-2019-20477 and apply the corresponding patch/update.,0,tcp,2026-08-02,2026-08-03
485872,CVE-2020-1747,Critical,9.8,REPO-0003,10.20.111.3,repo-0003.corp.example.local,GitHub Repository - Python (pip: PyYAML),"A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary…","A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. An attacker could use this flaw to execute arbitrary code on the system by…",See vendor advisory for CVE-2020-1747 and apply the corresponding patch/update.,443,tcp,2026-07-13,2026-08-03
158803,CVE-2020-14343,Critical,9.8,REPO-0004,10.20.111.4,repo-0004.corp.example.local,GitHub Repository - Python (pip: PyYAML),"A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code…","A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by…",See vendor advisory for CVE-2020-14343 and apply the corresponding patch/update.,443,tcp,2026-07-28,2026-08-01
381846,CVE-2025-50460,Critical,9.8,REPO-0005,10.20.111.5,repo-0005.corp.example.local,GitHub Repository - Python (pip: PyYAML),A remote code execution (RCE) vulnerability exists in the ms-swift project version 3.3.0 due to unsafe deserialization…,"A remote code execution (RCE) vulnerability exists in the ms-swift project version 3.3.0 due to unsafe deserialization in tests/run.py using yaml.load() from the PyYAML library (versions = 5.3.1). If an attacker can control the content of the YAML configuration file passed to the --run_config parameter, arbitrary code can be executed during deserialization. This can lead to full system…",See vendor advisory for CVE-2025-50460 and apply the corresponding patch/update.,443,tcp,2026-06-28,2026-08-01
909395,CVE-2026-24009,High,8.1,REPO-0006,10.20.111.6,repo-0006.corp.example.local,GitHub Repository - Python (pip: PyYAML),Docling Core (or docling-core) is a library that defines core data types and transformations in the document…,"Docling Core (or docling-core) is a library that defines core data types and transformations in the document processing application Docling. A PyYAML-related Remote Code Execution (RCE) vulnerability, namely CVE-2020-14343, is exposed in docling-core starting in version 2.21.0 and prior to version 2.48.4, specifically only if the application uses pyyaml prior to version 5.4 and invokes…",See vendor advisory for CVE-2026-24009 and apply the corresponding patch/update.,0,tcp,2026-07-19,2026-08-03
131324,CVE-2016-9015,Low,3.7,REPO-0007,10.20.111.7,repo-0007.corp.example.local,GitHub Repository - Python (pip: urllib3),"Versions 1.17 and 1.18 of the Python urllib3 library suffer from a vulnerability that can cause them, in certain…","Versions 1.17 and 1.18 of the Python urllib3 library suffer from a vulnerability that can cause them, in certain configurations, to not correctly validate TLS certificates. This places users of the library with those configurations at risk of man-in-the-middle and information leakage attacks. This vulnerability affects users using versions 1.17 and 1.18 of the urllib3 library, who are using the…",See vendor advisory for CVE-2016-9015 and apply the corresponding patch/update.,443,tcp,2026-07-30,2026-08-02
741819,CVE-2018-20060,Critical,9.8,REPO-0008,10.20.111.8,repo-0008.corp.example.local,GitHub Repository - Python (pip: urllib3),urllib3 before version 1.23 does not remove the Authorization HTTP header when following a cross-origin redirect…,"urllib3 before version 1.23 does not remove the Authorization HTTP header when following a cross-origin redirect (i.e., a redirect that differs in host, port, or scheme). This can allow for credentials in the Authorization header to be exposed to unintended hosts or transmitted in cleartext.",See vendor advisory for CVE-2018-20060 and apply the corresponding patch/update.,0,tcp,2026-08-03,2026-08-02
274712,CVE-2019-11236,Medium,6.1,REPO-0009,10.20.111.9,repo-0009.corp.example.local,GitHub Repository - Python (pip: urllib3),"In the urllib3 library through 1.24.1 for Python, CRLF injection is possible if the attacker controls the request…","In the urllib3 library through 1.24.1 for Python, CRLF injection is possible if the attacker controls the request parameter.",See vendor advisory for CVE-2019-11236 and apply the corresponding patch/update.,443,tcp,2026-07-04,2026-08-02
512004,CVE-2019-11324,High,7.5,REPO-0010,10.20.111.10,repo-0010.corp.example.local,GitHub Repository - Python (pip: urllib3),The urllib3 library before 1.24.2 for Python mishandles certain cases where the desired set of CA certificates is…,"The urllib3 library before 1.24.2 for Python mishandles certain cases where the desired set of CA certificates is different from the OS store of CA certificates, which results in SSL connections succeeding in situations where a verification failure is the correct outcome. This is related to use of the ssl_context, ca_certs, or ca_certs_dir argument.",See vendor advisory for CVE-2019-11324 and apply the corresponding patch/update.,443,tcp,2026-06-26,2026-08-01
