Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
501501,CVE-2012-5616,Low,1.5,APP-0001,10.20.106.1,app-0001.corp.example.local,Ubuntu Linux 22.04,Apache CloudStack 4.0.0-incubating and Citrix CloudPlatform (formerly Citrix CloudStack) before 3.0.6 stores sensitive…,"Apache CloudStack 4.0.0-incubating and Citrix CloudPlatform (formerly Citrix CloudStack) before 3.0.6 stores sensitive information in the log4j.conf log file, which allows local users to obtain (1) the SSH private key as recorded by the createSSHKeyPair API, (2) the password of an added host as recorded by the AddHost API, or the password of an added VM as recorded by the (3) DeployVM or (4)…",See vendor advisory for CVE-2012-5616 and apply the corresponding patch/update.,8443,tcp,2026-06-06,2026-08-03
501502,CVE-2017-5645,Critical,9.8,APP-0002,10.20.106.2,app-0002.corp.example.local,Amazon Linux 2,"In Apache Log4j 2.x before 2.8.2, when using the TCP socket server or UDP socket server to receive serialized log…","In Apache Log4j 2.x before 2.8.2, when using the TCP socket server or UDP socket server to receive serialized log events from another application, a specially crafted binary payload can be sent that, when deserialized, can execute arbitrary code.",See vendor advisory for CVE-2017-5645 and apply the corresponding patch/update.,8443,tcp,2026-07-11,2026-08-03
501503,CVE-2020-9488,Low,3.7,APP-0003,10.20.106.3,app-0003.corp.example.local,Ubuntu Linux 22.04,Improper validation of certificate with host mismatch in Apache Log4j SMTP appender. This could allow an SMTPS…,Improper validation of certificate with host mismatch in Apache Log4j SMTP appender. This could allow an SMTPS connection to be intercepted by a man-in-the-middle attack which could leak any log messages sent through that appender. Fixed in Apache Log4j 2.12.3 and 2.13.1,See vendor advisory for CVE-2020-9488 and apply the corresponding patch/update.,8080,tcp,2026-06-12,2026-08-02
501504,CVE-2021-44228,Critical,10.0,APP-0004,10.20.106.4,app-0004.corp.example.local,Amazon Linux 2,"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in…","Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message parameters can execute arbitrary code loaded from LDAP servers when message lookup substitution is…",See vendor advisory for CVE-2021-44228 and apply the corresponding patch/update.,8443,tcp,2026-07-15,2026-08-03
501505,CVE-2021-4104,High,7.5,APP-0005,10.20.106.5,app-0005.corp.example.local,Red Hat Enterprise Linux 9,JMSAppender in Log4j 1.2 is vulnerable to deserialization of untrusted data when the attacker has write access to the…,JMSAppender in Log4j 1.2 is vulnerable to deserialization of untrusted data when the attacker has write access to the Log4j configuration. The attacker can provide TopicBindingName and TopicConnectionFactoryBindingName configurations causing JMSAppender to perform JNDI requests that result in remote code execution in a similar fashion to CVE-2021-44228. Note this issue only affects Log4j 1.2…,See vendor advisory for CVE-2021-4104 and apply the corresponding patch/update.,8080,tcp,2026-07-27,2026-08-03
501506,CVE-2021-45046,Critical,9.0,APP-0006,10.20.106.6,app-0006.corp.example.local,Red Hat Enterprise Linux 9,It was found that the fix to address CVE-2021-44228 in Apache Log4j 2.15.0 was incomplete in certain non-default…,"It was found that the fix to address CVE-2021-44228 in Apache Log4j 2.15.0 was incomplete in certain non-default configurations. This could allows attackers with control over Thread Context Map (MDC) input data when the logging configuration uses a non-default Pattern Layout with either a Context Lookup (for example, $${ctx:loginId}) or a Thread Context Map pattern (%X, %mdc, or %MDC) to craft…",See vendor advisory for CVE-2021-45046 and apply the corresponding patch/update.,443,tcp,2026-08-01,2026-08-03
501507,CVE-2021-45105,Medium,5.9,APP-0007,10.20.106.7,app-0007.corp.example.local,Ubuntu Linux 22.04,Apache Log4j2 versions 2.0-alpha1 through 2.16.0 (excluding 2.12.3 and 2.3.1) did not protect from uncontrolled…,"Apache Log4j2 versions 2.0-alpha1 through 2.16.0 (excluding 2.12.3 and 2.3.1) did not protect from uncontrolled recursion from self-referential lookups. This allows an attacker with control over Thread Context Map data to cause a denial of service when a crafted string is interpreted. This issue was fixed in Log4j 2.17.0, 2.12.3, and 2.3.1.",See vendor advisory for CVE-2021-45105 and apply the corresponding patch/update.,443,tcp,2026-07-21,2026-08-03
501508,CVE-2021-44832,Medium,6.6,APP-0008,10.20.106.8,app-0008.corp.example.local,Amazon Linux 2,Apache Log4j2 versions 2.0-beta7 through 2.17.0 (excluding security fix releases 2.3.2 and 2.12.4) are vulnerable to a…,"Apache Log4j2 versions 2.0-beta7 through 2.17.0 (excluding security fix releases 2.3.2 and 2.12.4) are vulnerable to a remote code execution (RCE) attack when a configuration uses a JDBC Appender with a JNDI LDAP data source URI when an attacker has control of the target LDAP server. This issue is fixed by limiting JNDI data source names to the java protocol in Log4j2 versions 2.17.1, 2.12.4,…",See vendor advisory for CVE-2021-44832 and apply the corresponding patch/update.,443,tcp,2026-06-17,2026-08-01
501509,CVE-2022-23302,High,8.8,APP-0009,10.20.106.9,app-0009.corp.example.local,Amazon Linux 2,JMSSink in all versions of Log4j 1.x is vulnerable to deserialization of untrusted data when the attacker has write…,JMSSink in all versions of Log4j 1.x is vulnerable to deserialization of untrusted data when the attacker has write access to the Log4j configuration or if the configuration references an LDAP service the attacker has access to. The attacker can provide a TopicConnectionFactoryBindingName configuration causing JMSSink to perform JNDI requests that result in remote code execution in a similar…,See vendor advisory for CVE-2022-23302 and apply the corresponding patch/update.,8443,tcp,2026-07-07,2026-08-03
501510,CVE-2022-23305,Critical,9.8,APP-0010,10.20.106.10,app-0010.corp.example.local,Ubuntu Linux 22.04,"By design, the JDBCAppender in Log4j 1.2.x accepts an SQL statement as a configuration parameter where the values to…","By design, the JDBCAppender in Log4j 1.2.x accepts an SQL statement as a configuration parameter where the values to be inserted are converters from PatternLayout. The message converter, %m, is likely to always be included. This allows attackers to manipulate the SQL by entering crafted strings into input fields or headers of an application that are logged allowing unintended SQL queries to be…",See vendor advisory for CVE-2022-23305 and apply the corresponding patch/update.,8080,tcp,2026-07-25,2026-08-01
