Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
647104,CVE-2008-0985,Medium,6.8,MOBILE-0001,10.20.113.1,mobile-0001.corp.example.local,Android 14 (MDM-managed),Heap-based buffer overflow in the GIF library in the WebKit framework for Google Android SDK m3-rc37a and earlier…,Heap-based buffer overflow in the GIF library in the WebKit framework for Google Android SDK m3-rc37a and earlier allows remote attackers to execute arbitrary code via a crafted GIF file whose logical screen height and width are different than the actual height and width.,See vendor advisory for CVE-2008-0985 and apply the corresponding patch/update.,0,tcp,2026-06-19,2026-08-04
898391,CVE-2008-0986,High,7.5,MOBILE-0002,10.20.113.2,mobile-0002.corp.example.local,Android 14 (MDM-managed),Integer overflow in the BMP::readFromStream method in the libsgl.so library in Google Android SDK m3-rc37a and…,"Integer overflow in the BMP::readFromStream method in the libsgl.so library in Google Android SDK m3-rc37a and earlier, and m5-rc14, allows remote attackers to execute arbitrary code via a crafted BMP file with a header containing a negative offset field.",See vendor advisory for CVE-2008-0986 and apply the corresponding patch/update.,0,tcp,2026-06-27,2026-08-03
998243,CVE-2009-0606,High,7.2,MOBILE-0003,10.20.113.3,mobile-0003.corp.example.local,Android 14 (MDM-managed),The link_image function in linker/linker.c in the dynamic linker in Bionic in Open Handset Alliance Android 1.0 on the…,"The link_image function in linker/linker.c in the dynamic linker in Bionic in Open Handset Alliance Android 1.0 on the T-Mobile G1 phone does not properly handle file descriptors 0, 1, and 2 for a setgid program, which allows local users to create arbitrary files owned by certain groups, possibly a related issue to CVE-2002-0820.",See vendor advisory for CVE-2009-0606 and apply the corresponding patch/update.,0,tcp,2026-08-04,2026-08-03
523546,CVE-2009-0607,High,7.2,MOBILE-0004,10.20.113.4,mobile-0004.corp.example.local,Android 14 (MDM-managed),Multiple integer overflows in malloc_leak.c in Bionic in Open Handset Alliance Android 1.0 have unknown impact and…,"Multiple integer overflows in malloc_leak.c in Bionic in Open Handset Alliance Android 1.0 have unknown impact and attack vectors, related to the (1) chk_calloc and (2) leak_calloc functions.",See vendor advisory for CVE-2009-0607 and apply the corresponding patch/update.,0,tcp,2026-07-21,2026-08-03
582296,CVE-2009-0608,High,7.2,MOBILE-0005,10.20.113.5,mobile-0005.corp.example.local,Android 14 (MDM-managed),Integer overflow in the showLog function in fake_log_device.c in liblog in Open Handset Alliance Android 1.0 allows…,Integer overflow in the showLog function in fake_log_device.c in liblog in Open Handset Alliance Android 1.0 allows attackers to trigger a buffer overflow and possibly have unspecified other impact by sending a large number of input lines.,See vendor advisory for CVE-2009-0608 and apply the corresponding patch/update.,0,tcp,2026-07-01,2026-08-02
395941,CVE-2009-1442,Medium,6.8,MOBILE-0006,10.20.113.6,mobile-0006.corp.example.local,Android 14 (MDM-managed),"Multiple integer overflows in Skia, as used in Google Chrome 1.x before 1.0.154.64 and 2.x, and possibly Android,…","Multiple integer overflows in Skia, as used in Google Chrome 1.x before 1.0.154.64 and 2.x, and possibly Android, might allow remote attackers to execute arbitrary code in the renderer process via a crafted (1) image or (2) canvas.",See vendor advisory for CVE-2009-1442 and apply the corresponding patch/update.,0,tcp,2026-06-08,2026-08-04
431553,CVE-2009-1754,Medium,4.3,MOBILE-0007,10.20.113.7,mobile-0007.corp.example.local,Android 14 (MDM-managed),The PackageManagerService class in services/java/com/android/server/PackageManagerService.java in Android 1.5 through…,"The PackageManagerService class in services/java/com/android/server/PackageManagerService.java in Android 1.5 through 1.5 CRB42 does not properly check developer certificates during processing of sharedUserId requests at an application's installation time, which allows remote user-assisted attackers to access application data by creating a package that specifies a shared user ID with an…",See vendor advisory for CVE-2009-1754 and apply the corresponding patch/update.,0,tcp,2026-07-15,2026-08-03
925198,CVE-2009-2348,Medium,6.9,MOBILE-0008,10.20.113.8,mobile-0008.corp.example.local,Android 14 (MDM-managed),Android 1.5 CRBxx allows local users to bypass the (1) Manifest.permission.CAMERA (aka android.permission.CAMERA) and…,Android 1.5 CRBxx allows local users to bypass the (1) Manifest.permission.CAMERA (aka android.permission.CAMERA) and (2) Manifest.permission.AUDIO_RECORD (aka android.permission.RECORD_AUDIO) configuration settings by installing and executing an application that does not make a permission request before using the camera or microphone.,See vendor advisory for CVE-2009-2348 and apply the corresponding patch/update.,0,tcp,2026-07-24,2026-08-04
681255,CVE-2009-2656,Medium,5.0,MOBILE-0009,10.20.113.9,mobile-0009.corp.example.local,Android 14 (MDM-managed),"Unspecified vulnerability in the com.android.phone process in Android 1.0, 1.1, and 1.5 allows remote attackers to…","Unspecified vulnerability in the com.android.phone process in Android 1.0, 1.1, and 1.5 allows remote attackers to cause a denial of service (network disconnection) via a crafted SMS message, as demonstrated by Collin Mulliner and Charlie Miller at Black Hat USA 2009.",See vendor advisory for CVE-2009-2656 and apply the corresponding patch/update.,0,tcp,2026-07-17,2026-08-03
292159,CVE-2009-2999,Medium,4.3,MOBILE-0010,10.20.113.10,mobile-0010.corp.example.local,Android 14 (MDM-managed),The com.android.phone process in Android 1.5 CRBxx allows remote attackers to cause a denial of service (application…,"The com.android.phone process in Android 1.5 CRBxx allows remote attackers to cause a denial of service (application restart and network disconnection) via an SMS message containing a malformed WAP Push message that triggers an ArrayIndexOutOfBoundsException exception, possibly a related issue to CVE-2009-2656.",See vendor advisory for CVE-2009-2999 and apply the corresponding patch/update.,0,tcp,2026-08-01,2026-08-04
