Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
706729,CVE-1999-1387,Medium,5.0,LNX-SRV-0001,10.20.101.1,lnx-srv-0001.corp.example.local,Red Hat Enterprise Linux 9,"Windows NT 4.0 SP2 allows remote attackers to cause a denial of service (crash), possibly via malformed inputs or…","Windows NT 4.0 SP2 allows remote attackers to cause a denial of service (crash), possibly via malformed inputs or packets, such as those generated by a Linux smbmount command that was compiled on the Linux 2.0.29 kernel but executed on Linux 2.0.25.",See vendor advisory for CVE-1999-1387 and apply the corresponding patch/update.,80,tcp,2026-07-12,2026-08-01
372674,CVE-1999-1442,High,7.2,LNX-SRV-0002,10.20.101.2,lnx-srv-0002.corp.example.local,Red Hat Enterprise Linux 9,Bug in AMD K6 processor on Linux 2.0.x and 2.1.x kernels allows local users to cause a denial of service (crash) via a…,"Bug in AMD K6 processor on Linux 2.0.x and 2.1.x kernels allows local users to cause a denial of service (crash) via a particular sequence of instructions, possibly related to accessing addresses outside of segments.",See vendor advisory for CVE-1999-1442 and apply the corresponding patch/update.,22,tcp,2026-07-14,2026-08-01
299999,CVE-1999-1406,Low,2.1,LNX-SRV-0003,10.20.101.3,lnx-srv-0003.corp.example.local,Red Hat Enterprise Linux 9,"dumpreg in Red Hat Linux 5.1 opens /dev/mem with O_RDWR access, which allows local users to cause a denial of service…","dumpreg in Red Hat Linux 5.1 opens /dev/mem with O_RDWR access, which allows local users to cause a denial of service (crash) by redirecting fd 1 (stdout) to the kernel.",See vendor advisory for CVE-1999-1406 and apply the corresponding patch/update.,80,tcp,2026-07-25,2026-08-03
209453,CVE-1999-0804,Medium,5.0,LNX-SRV-0004,10.20.101.4,lnx-srv-0004.corp.example.local,Debian Linux 11,"Denial of service in Linux 2.2.x kernels via malformed ICMP packets containing unusual types, codes, and IP header…","Denial of service in Linux 2.2.x kernels via malformed ICMP packets containing unusual types, codes, and IP header lengths.",See vendor advisory for CVE-1999-0804 and apply the corresponding patch/update.,22,tcp,2026-06-28,2026-08-02
845817,CVE-1999-1166,High,7.2,LNX-SRV-0005,10.20.101.5,lnx-srv-0005.corp.example.local,Red Hat Enterprise Linux 8,"Linux 2.0.37 does not properly encode the Custom segment limit, which allows local users to gain root privileges by…","Linux 2.0.37 does not properly encode the Custom segment limit, which allows local users to gain root privileges by accessing and modifying kernel memory.",See vendor advisory for CVE-1999-1166 and apply the corresponding patch/update.,0,tcp,2026-07-18,2026-08-03
986433,CVE-1999-1018,High,7.5,LNX-SRV-0006,10.20.101.6,lnx-srv-0006.corp.example.local,Red Hat Enterprise Linux 9,"IPChains in Linux kernels 2.2.10 and earlier does not reassemble IP fragments before checking the header information,…","IPChains in Linux kernels 2.2.10 and earlier does not reassemble IP fragments before checking the header information, which allows a remote attacker to bypass the filtering rules using several fragments with 0 offsets.",See vendor advisory for CVE-1999-1018 and apply the corresponding patch/update.,0,tcp,2026-07-24,2026-08-03
444697,CVE-1999-1341,Medium,4.6,LNX-SRV-0007,10.20.101.7,lnx-srv-0007.corp.example.local,Red Hat Enterprise Linux 8,"Linux kernel before 2.3.18 or 2.2.13pre15, with SLIP and PPP options, allows local unprivileged users to forge IP…","Linux kernel before 2.3.18 or 2.2.13pre15, with SLIP and PPP options, allows local unprivileged users to forge IP packets via the TIOCSETD option on tty devices.",See vendor advisory for CVE-1999-1341 and apply the corresponding patch/update.,0,tcp,2026-06-08,2026-08-02
957418,CVE-2000-0227,Low,2.1,LNX-SRV-0008,10.20.101.8,lnx-srv-0008.corp.example.local,CentOS Linux 7,"The Linux 2.2.x kernel does not restrict the number of Unix domain sockets as defined by the wmem_max parameter, which…","The Linux 2.2.x kernel does not restrict the number of Unix domain sockets as defined by the wmem_max parameter, which allows local users to cause a denial of service by requesting a large number of sockets.",See vendor advisory for CVE-2000-0227 and apply the corresponding patch/update.,80,tcp,2026-08-01,2026-08-01
237683,CVE-2000-0274,Low,2.1,LNX-SRV-0009,10.20.101.9,lnx-srv-0009.corp.example.local,Red Hat Enterprise Linux 9,The Linux trustees kernel patch allows attackers to cause a denial of service by accessing a file or directory with a…,The Linux trustees kernel patch allows attackers to cause a denial of service by accessing a file or directory with a long name.,See vendor advisory for CVE-2000-0274 and apply the corresponding patch/update.,22,tcp,2026-07-05,2026-08-02
128042,CVE-2000-0344,Medium,5.0,LNX-SRV-0010,10.20.101.10,lnx-srv-0010.corp.example.local,Ubuntu Linux 20.04,The knfsd NFS server in Linux kernel 2.2.x allows remote attackers to cause a denial of service via a negative size…,The knfsd NFS server in Linux kernel 2.2.x allows remote attackers to cause a denial of service via a negative size value.,See vendor advisory for CVE-2000-0344 and apply the corresponding patch/update.,80,tcp,2026-06-20,2026-08-03
323442,CVE-2000-0506,Critical,10.0,LNX-SRV-0011,10.20.101.11,lnx-srv-0011.corp.example.local,Ubuntu Linux 20.04,"The ""capabilities"" feature in Linux before 2.2.16 allows local users to cause a denial of service or gain privileges…","The ""capabilities"" feature in Linux before 2.2.16 allows local users to cause a denial of service or gain privileges by setting the capabilities to prevent a setuid program from dropping privileges, aka the ""Linux kernel setuid/setcap vulnerability.""",See vendor advisory for CVE-2000-0506 and apply the corresponding patch/update.,80,tcp,2026-06-17,2026-08-01
427490,CVE-2000-0747,Critical,10.0,LNX-SRV-0012,10.20.101.12,lnx-srv-0012.corp.example.local,Red Hat Enterprise Linux 8,The logrotate script for OpenLDAP before 1.2.11 in Conectiva Linux sends an improper signal to the kernel log daemon…,The logrotate script for OpenLDAP before 1.2.11 in Conectiva Linux sends an improper signal to the kernel log daemon (klogd) and kills it.,See vendor advisory for CVE-2000-0747 and apply the corresponding patch/update.,22,tcp,2026-06-09,2026-08-02
990658,CVE-2000-0867,High,7.2,LNX-SRV-0013,10.20.101.13,lnx-srv-0013.corp.example.local,Ubuntu Linux 20.04,"Kernel logging daemon (klogd) in Linux does not properly cleanse user-injected format strings, which allows local…","Kernel logging daemon (klogd) in Linux does not properly cleanse user-injected format strings, which allows local users to gain root privileges by triggering malformed kernel messages.",See vendor advisory for CVE-2000-0867 and apply the corresponding patch/update.,22,tcp,2026-07-30,2026-08-02
328068,CVE-2001-1273,Low,2.1,LNX-SRV-0014,10.20.101.14,lnx-srv-0014.corp.example.local,Red Hat Enterprise Linux 9,"The ""mxcsr P4"" vulnerability in the Linux kernel before 2.2.17-14, when running on certain Intel CPUs, allows local…","The ""mxcsr P4"" vulnerability in the Linux kernel before 2.2.17-14, when running on certain Intel CPUs, allows local users to cause a denial of service (system halt).",See vendor advisory for CVE-2001-1273 and apply the corresponding patch/update.,443,tcp,2026-07-25,2026-08-02
186654,CVE-2001-1390,Medium,6.2,LNX-SRV-0015,10.20.101.15,lnx-srv-0015.corp.example.local,CentOS Linux 7,"Unknown vulnerability in binfmt_misc in the Linux kernel before 2.2.19, related to user pages.","Unknown vulnerability in binfmt_misc in the Linux kernel before 2.2.19, related to user pages.",See vendor advisory for CVE-2001-1390 and apply the corresponding patch/update.,443,tcp,2026-07-16,2026-08-02
