Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
501801,,Medium,5.3,WEBAPP-SEARCH-SERVICE,10.20.107.1,search-service.corp.deloitte.local,Web Application (dynamic scan target),Weak Password Policy Allows Trivial Brute Force (CWE-521),"The login form accepts short, low-complexity passwords with no rate limiting, making credential-stuffing/brute-force attacks practical.",Enforce a minimum password complexity policy and add rate limiting/account lockout after repeated failed attempts.,443,tcp,2026-07-25,2026-08-01
501802,,Low,2.5,WEBAPP-LOYALTY-REWARDS,10.20.107.2,loyalty-rewards.corp.deloitte.local,Web Application (dynamic scan target),Missing HTTP Security Headers (CWE-693),"The application does not send X-Frame-Options/Content-Security-Policy headers, leaving it vulnerable to clickjacking and reducing defense-in-depth against XSS.","Add X-Frame-Options: DENY (or CSP frame-ancestors), X-Content-Type-Options: nosniff, and a baseline Content-Security-Policy.",443,tcp,2026-06-28,2026-08-02
501803,,Medium,6.0,WEBAPP-SUPPORT-TICKETING,10.20.107.3,support-ticketing.corp.deloitte.local,Web Application (dynamic scan target),Cross-Site Request Forgery (CSRF) (CWE-352),"A state-changing request has no anti-CSRF token and is accepted with only a session cookie, allowing a forged cross-site request to perform the action on a victim's behalf.",Require a per-session anti-CSRF token on all state-changing requests and set the session cookie's SameSite attribute to Strict or Lax.,443,tcp,2026-06-16,2026-08-03
501804,,High,7.4,WEBAPP-VENDOR-ONBOARDING,10.20.107.4,vendor-onboarding.corp.deloitte.local,Web Application (dynamic scan target),Stored Cross-Site Scripting (XSS) (CWE-79),"User-submitted content is persisted and rendered to other users without sanitization, allowing a stored payload to execute in any visitor's session.",Sanitize/encode user content on output (not just input) and use a CSP that blocks inline script execution.,443,tcp,2026-07-31,2026-08-01
501805,,High,7.4,WEBAPP-REPORTING-DASHBOARD,10.20.107.5,reporting-dashboard.corp.deloitte.local,Web Application (dynamic scan target),Reflected Cross-Site Scripting (XSS) (CWE-79),"User-controlled input from a query parameter is reflected into the HTML response without output encoding, allowing arbitrary script execution in a victim's browser.",Apply context-aware output encoding at every reflection point and adopt a strict Content-Security-Policy as defense in depth.,443,tcp,2026-07-22,2026-08-02
501806,,Low,2.6,WEBAPP-LOYALTY-REWARDS,10.20.107.6,loyalty-rewards.corp.deloitte.local,Web Application (dynamic scan target),Session Cookie Missing 'Secure' Attribute (CWE-614),"The session cookie is not marked Secure, allowing it to be transmitted over an unencrypted HTTP connection if one is ever made.",Set the Secure attribute on all session/authentication cookies.,443,tcp,2026-06-30,2026-08-02
501807,,Medium,5.4,WEBAPP-EMPLOYEE-HR-PORTAL,10.20.107.7,employee-hr-portal.corp.deloitte.local,Web Application (dynamic scan target),Open Redirect (CWE-601),"A redirect parameter accepts an arbitrary external URL without validation, enabling phishing links that appear to originate from a trusted domain.",Validate redirect targets against an allowlist of relative paths or known internal hosts only.,443,tcp,2026-06-14,2026-08-01
501808,,Medium,5.9,WEBAPP-MOBILE-BACKEND-API,10.20.107.8,mobile-backend-api.corp.deloitte.local,Web Application (dynamic scan target),Hardcoded API Key in Client-Side JavaScript (CWE-798),"A third-party API key is embedded directly in a client-side JavaScript bundle, visible to anyone who views the page source.","Move the API call behind a server-side proxy that holds the credential, or use a public/restricted key scoped for client-side use.",443,tcp,2026-07-19,2026-08-01
501809,,Medium,5.3,WEBAPP-ORDER-SERVICE,10.20.107.9,order-service.corp.deloitte.local,Web Application (dynamic scan target),Weak Password Policy Allows Trivial Brute Force (CWE-521),"The login form accepts short, low-complexity passwords with no rate limiting, making credential-stuffing/brute-force attacks practical.",Enforce a minimum password complexity policy and add rate limiting/account lockout after repeated failed attempts.,443,tcp,2026-06-19,2026-08-01
501810,,Low,3.7,WEBAPP-REPORTING-DASHBOARD,10.20.107.10,reporting-dashboard.corp.deloitte.local,Web Application (dynamic scan target),Verbose Error Message Discloses Stack Trace (CWE-209),"An unhandled exception returns a full stack trace and internal file paths to the client, disclosing implementation details useful for further attack.",Return generic error responses to clients and log detailed stack traces server-side only.,443,tcp,2026-07-31,2026-08-01
501811,,High,8.1,WEBAPP-MARKETING-CMS,10.20.107.11,marketing-cms.corp.deloitte.local,Web Application (dynamic scan target),Unrestricted File Upload (CWE-434),"The file upload feature does not validate file type/content, allowing a script file to be uploaded and potentially executed by the web server.","Validate uploaded file content (not just extension), store uploads outside the web root, and disable script execution in the upload directory.",443,tcp,2026-06-05,2026-08-01
501812,,High,8.2,WEBAPP-NOTIFICATION-SERVICE,10.20.107.12,notification-service.corp.deloitte.local,Web Application (dynamic scan target),XML External Entity (XXE) Injection (CWE-611),"The XML parser resolves external entities in user-supplied XML, allowing local file disclosure or SSRF via a crafted DOCTYPE declaration.",Disable external entity resolution and DTD processing in the XML parser configuration.,443,tcp,2026-07-09,2026-08-02
