Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
524889,,Medium,5.3,IAC-BATCH-JOBS-EBS-VOL,10.20.113.1,batch-jobs-ebs-vol.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),EBS Volume Is Not Encrypted (CKV_AWS_3),"The EBS volume resource does not have encryption enabled, leaving data at rest on the underlying storage unencrypted.",Set encrypted = true on the EBS volume resource (and consider enabling account-level default EBS encryption).,0,tcp,2026-06-21,2026-08-01
104402,,Medium,5.5,IAC-CUSTOMER-ORDERS-RDS,10.20.113.2,customer-orders-rds.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),CloudTrail Is Not Enabled in All Regions (CKV_AWS_67),"The CloudTrail configuration does not have multi-region logging enabled, leaving API activity in other regions unlogged.",Set is_multi_region_trail = true on the CloudTrail resource so API activity is captured account-wide.,0,tcp,2026-06-30,2026-08-02
656192,,Critical,9.8,IAC-DEVOPS-TERRAFORM-STATE-S3,10.20.113.3,devops-terraform-state-s3.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),IAM Policy Allows Full '*:*' Administrative Privileges (CKV_AWS_1),"The IAM policy attached to this resource grants Action: '*' against Resource: '*', a full-administrator wildcard grant with no least-privilege scoping.","Scope the policy to only the specific actions and resources this role/user genuinely needs, following least privilege.",0,tcp,2026-07-02,2026-08-02
402113,,Medium,5.3,IAC-WEB-TIER-SG-PUBLIC,10.20.113.4,web-tier-sg-public.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),EBS Volume Is Not Encrypted (CKV_AWS_3),"The EBS volume resource does not have encryption enabled, leaving data at rest on the underlying storage unencrypted.",Set encrypted = true on the EBS volume resource (and consider enabling account-level default EBS encryption).,0,tcp,2026-06-23,2026-08-03
263108,,Critical,9.8,IAC-REPORTING-S3-BUCKET,10.20.113.5,reporting-s3-bucket.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),IAM Policy Allows Full '*:*' Administrative Privileges (CKV_AWS_1),"The IAM policy attached to this resource grants Action: '*' against Resource: '*', a full-administrator wildcard grant with no least-privilege scoping.","Scope the policy to only the specific actions and resources this role/user genuinely needs, following least privilege.",0,tcp,2026-07-11,2026-08-01
802063,,Critical,9.1,IAC-DEVOPS-TERRAFORM-STATE-S3,10.20.113.6,devops-terraform-state-s3.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),S3 Bucket Has an ACL Defined Which Allows Public READ Access (CKV_AWS_20),"The S3 bucket resource's ACL grants public-read access, allowing anyone on the internet to list and download every object in the bucket.",Remove the public-read ACL grant and set the bucket's public-access-block configuration to block all public access.,0,tcp,2026-07-30,2026-08-01
104517,,Critical,9.8,IAC-TEST-ENV-SG,10.20.113.7,test-env-sg.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),IAM Policy Allows Full '*:*' Administrative Privileges (CKV_AWS_1),"The IAM policy attached to this resource grants Action: '*' against Resource: '*', a full-administrator wildcard grant with no least-privilege scoping.","Scope the policy to only the specific actions and resources this role/user genuinely needs, following least privilege.",0,tcp,2026-07-26,2026-08-03
224999,,High,8.1,IAC-LOGGING-S3-BUCKET,10.20.113.8,logging-s3-bucket.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),Security Group Allows Ingress From 0.0.0.0/0 to Port 22 (SSH) (CKV_AWS_24),The security group resource has an ingress rule allowing SSH (port 22) from any source IP address (0.0.0.0/0).,"Restrict the SSH ingress rule's source CIDR to a specific known IP range (e.g. a VPN or bastion host), never 0.0.0.0/0.",0,tcp,2026-07-25,2026-08-01
288986,,Critical,9.5,IAC-DEVOPS-TERRAFORM-STATE-S3,10.20.113.9,devops-terraform-state-s3.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),Security Group Allows Ingress From 0.0.0.0/0 to All Ports (CKV_AWS_277),The security group resource has an ingress rule allowing all ports (0-65535) from any source IP address (0.0.0.0/0).,"Replace the all-ports rule with explicit, minimal port ranges scoped to a specific known source CIDR.",0,tcp,2026-07-31,2026-08-03
708989,,Critical,9.1,IAC-PAYMENTS-RDS-PRIMARY,10.20.113.10,payments-rds-primary.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),S3 Bucket Has an ACL Defined Which Allows Public READ Access (CKV_AWS_20),"The S3 bucket resource's ACL grants public-read access, allowing anyone on the internet to list and download every object in the bucket.",Remove the public-read ACL grant and set the bucket's public-access-block configuration to block all public access.,0,tcp,2026-06-29,2026-08-02
227281,,High,8.1,IAC-CORE-NETWORK-SG,10.20.113.11,core-network-sg.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),Security Group Allows Ingress From 0.0.0.0/0 to Port 3389 (RDP) (CKV_AWS_25),The security group resource has an ingress rule allowing RDP (port 3389) from any source IP address (0.0.0.0/0).,"Restrict the RDP ingress rule's source CIDR to a specific known IP range, never 0.0.0.0/0.",0,tcp,2026-07-26,2026-08-02
831770,,High,7.5,IAC-HR-DOCUMENTS-S3,10.20.113.12,hr-documents-s3.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),RDS Instance Is Not Encrypted at Rest (CKV_AWS_16),"The RDS database instance resource does not have storage encryption enabled, leaving the database's data at rest unencrypted.",Set storage_encrypted = true on the RDS instance (note: this requires recreating an existing unencrypted instance).,0,tcp,2026-06-25,2026-08-01
754693,,Medium,5.5,IAC-WEB-TIER-SG-PUBLIC,10.20.113.13,web-tier-sg-public.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),CloudTrail Is Not Enabled in All Regions (CKV_AWS_67),"The CloudTrail configuration does not have multi-region logging enabled, leaving API activity in other regions unlogged.",Set is_multi_region_trail = true on the CloudTrail resource so API activity is captured account-wide.,0,tcp,2026-06-30,2026-08-03
541464,,Medium,5.5,IAC-PAYMENTS-RDS-PRIMARY,10.20.113.14,payments-rds-primary.terraform.corp.deloitte.local,Terraform/CloudFormation Resource (IaC static analysis target),CloudTrail Is Not Enabled in All Regions (CKV_AWS_67),"The CloudTrail configuration does not have multi-region logging enabled, leaving API activity in other regions unlogged.",Set is_multi_region_trail = true on the CloudTrail resource so API activity is captured account-wide.,0,tcp,2026-06-30,2026-08-01
