Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
57608,CVE-2021-34527,Critical,8.8,WIN-DC01,10.20.30.41,win-dc01.corp.example.local,Microsoft Windows Server 2019 Datacenter,MS Windows Print Spooler Remote Code Execution (PrintNightmare),"The Windows Print Spooler service allows remote authenticated users to execute arbitrary code with SYSTEM privileges.",Apply the security update referenced in Microsoft KB5004945 or disable the Print Spooler service on servers that do not require printing.,445,tcp,2026-07-28,2026-08-02
78862,CVE-2017-0144,Critical,8.1,WIN-FS02,10.20.30.55,win-fs02.corp.example.local,Microsoft Windows Server 2016 Standard,MS17-010: SMBv1 Remote Code Execution (EternalBlue),"The SMBv1 server on the remote host has multiple remote code execution vulnerabilities.",Apply the MS17-010 patch and/or disable SMBv1 entirely; use SMBv2/v3 instead.,445,tcp,2026-07-15,2026-08-02
99999,CVE-2024-30040,High,7.0,WIN-APP07,10.20.31.12,win-app07.corp.example.local,Microsoft Windows Server 2022 Standard,Windows MSHTML Platform Security Feature Bypass,"A security feature bypass exists in the Windows MSHTML platform.",Install the applicable Windows Update to address CVE-2024-30040.,0,tcp,2026-08-01,2026-08-02
88101,CVE-2021-3156,Critical,7.8,LNX-DB03,10.20.32.20,lnx-db03.corp.example.local,Ubuntu Linux 20.04,Sudo Heap-Based Buffer Overflow (Baron Samedit),"A heap-based buffer overflow in sudo before 1.9.5p2 allows local privilege escalation to root.",Upgrade sudo to version 1.9.5p2 or later via the distribution package manager.,0,tcp,2026-07-20,2026-08-02
101202,CVE-2022-0778,High,7.5,LNX-WEB05,10.20.32.44,lnx-web05.corp.example.local,Red Hat Enterprise Linux 8,OpenSSL Infinite Loop Denial of Service (BN_mod_sqrt),"OpenSSL's BN_mod_sqrt() function can be made to loop forever with a malicious certificate, causing a denial of service.",Upgrade OpenSSL to the patched version provided by the distribution's package manager.,443,tcp,2026-07-25,2026-08-02
64127,CVE-2023-20198,Critical,10.0,CSW-CORE01,10.20.10.1,csw-core01.corp.example.local,Cisco IOS XE 17.x,Cisco IOS XE Web UI Privilege Escalation,"A vulnerability in the web UI feature of Cisco IOS XE Software could allow an unauthenticated attacker to create an account with privilege level 15 access.",Disable the HTTP/HTTPS server feature on internet-facing devices or apply the vendor-provided fix per Cisco's advisory.,443,tcp,2026-07-30,2026-08-02
156327,CVE-2021-44228,Critical,10.0,APP-ORDERS01,10.20.40.15,app-orders01.corp.example.local,Ubuntu Linux 22.04,Apache Log4j2 Remote Code Execution (Log4Shell),"The order-processing application bundles a vulnerable version of Apache Log4j2. An unauthenticated attacker can trigger remote code execution by causing the application to log a crafted string (JNDI lookup injection).",Upgrade the bundled Log4j2 library to 2.17.1 or later; do not rely on mitigations like removing JndiLookup.class as a permanent fix.,8443,tcp,2026-08-01,2026-08-02
15901,,Medium,0.0,WEB-PORTAL01,10.20.41.20,web-portal01.corp.example.local,Ubuntu Linux 22.04,SSL Certificate Expiry,"The SSL certificate for this service expires within 30 days. An expired certificate will cause browsers to show trust warnings and may break automated clients that validate certificate expiry.",Renew and replace the SSL certificate before its expiration date via your CA or ACME automation.,443,tcp,2026-07-15,2026-08-02
104743,,Medium,0.0,WEB-PORTAL01,10.20.41.20,web-portal01.corp.example.local,Ubuntu Linux 22.04,Deprecated TLSv1.0 and TLSv1.1 Protocol Detected,"The remote service accepts connections encrypted using TLS 1.0 and TLS 1.1, both deprecated protocols with known cryptographic weaknesses (e.g. BEAST, POODLE-adjacent issues).",Disable TLSv1.0 and TLSv1.1 in the web server's TLS configuration; support TLSv1.2 or later only.,443,tcp,2026-07-15,2026-08-02
187432,CVE-2024-3400,Critical,10.0,FW-EDGE01,10.20.5.1,fw-edge01.corp.example.local,PAN-OS 11.1,Palo Alto Networks PAN-OS GlobalProtect Command Injection,"A command injection vulnerability in the GlobalProtect gateway/portal feature allows an unauthenticated attacker to execute arbitrary code with root privileges by creating a crafted file on the system.",Apply the PAN-OS hotfix referenced in Palo Alto Networks advisory PAN-SA-2024-0010, or disable GlobalProtect gateway/portal telemetry as an interim mitigation if the hotfix cannot be applied immediately.,443,tcp,2026-07-29,2026-08-02
