Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
725956,CVE-1999-1133,Medium,4.6,ENDPT-WIN-0001,10.20.112.1,endpt-win-0001.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"HP-UX 9.x and 10.x running X windows may allow local attackers to gain privileges via (1) vuefile, (2) vuepad, (3)…","HP-UX 9.x and 10.x running X windows may allow local attackers to gain privileges via (1) vuefile, (2) vuepad, (3) dtfile, or (4) dtpad, which do not authenticate users.",See vendor advisory for CVE-1999-1133 and apply the corresponding patch/update.,0,tcp,2026-07-26,2026-08-02
918307,CVE-2002-2275,Low,2.1,ENDPT-WIN-0002,10.20.112.2,endpt-win-0002.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Fortres 101 4.1 allows local users to bypass Fortres by pressing the Windows and ""F"" key together for 30 seconds,…","Fortres 101 4.1 allows local users to bypass Fortres by pressing the Windows and ""F"" key together for 30 seconds, which opens multiple windows and eventually causes explorer.exe to crash, which then opens an unrestricted explorer.exe.",See vendor advisory for CVE-2002-2275 and apply the corresponding patch/update.,0,tcp,2026-08-03,2026-08-04
523060,CVE-2003-0837,High,7.5,ENDPT-WIN-0003,10.20.112.3,endpt-win-0003.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Stack-based buffer overflow in IBM DB2 Universal Data Base 7.2 for Windows, before Fixpak 10a, allows attackers with…","Stack-based buffer overflow in IBM DB2 Universal Data Base 7.2 for Windows, before Fixpak 10a, allows attackers with ""Connect"" privileges to execute arbitrary code via the INVOKE command.",See vendor advisory for CVE-2003-0837 and apply the corresponding patch/update.,0,tcp,2026-07-14,2026-08-04
980692,CVE-2004-0090,Critical,10.0,ENDPT-WIN-0004,10.20.112.4,endpt-win-0004.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Unknown vulnerability in Windows File Sharing for Mac OS X 10.1.5 through 10.3.2 does not ""shutdown properly,"" which…","Unknown vulnerability in Windows File Sharing for Mac OS X 10.1.5 through 10.3.2 does not ""shutdown properly,"" which has unknown impact and attack vectors.",See vendor advisory for CVE-2004-0090 and apply the corresponding patch/update.,0,tcp,2026-07-29,2026-08-02
281853,CVE-2004-1481,Medium,5.1,ENDPT-WIN-0005,10.20.112.5,endpt-win-0005.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Integer overflow in pnen3260.dll in RealPlayer 8 through 10.5 (6.0.12.1040) and earlier, and RealOne Player 1 or 2 on…","Integer overflow in pnen3260.dll in RealPlayer 8 through 10.5 (6.0.12.1040) and earlier, and RealOne Player 1 or 2 on Windows or Mac OS, allows remote attackers to execute arbitrary code via a SMIL file and a .rm movie file with a large length field for the data chunk, which leads to a heap-based buffer overflow.",See vendor advisory for CVE-2004-1481 and apply the corresponding patch/update.,0,tcp,2026-06-29,2026-08-02
462450,CVE-2005-0545,High,7.2,ENDPT-WIN-0006,10.20.112.6,endpt-win-0006.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),Microsoft Windows XP Pro SP2 and Windows 2000 Server SP4 running Active Directory allow local users to bypass group…,"Microsoft Windows XP Pro SP2 and Windows 2000 Server SP4 running Active Directory allow local users to bypass group policies that restrict access to hidden drives by using the browse feature in Office 10 applications such as Word or Excel, or using a flash drive. NOTE: this issue has been disputed in a followup post.",See vendor advisory for CVE-2005-0545 and apply the corresponding patch/update.,0,tcp,2026-07-20,2026-08-04
817953,CVE-2005-1185,Medium,4.6,ENDPT-WIN-0007,10.20.112.7,endpt-win-0007.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),Unquoted Windows search path vulnerability in Musicmatch Jukebox 10.00.2047 and earlier allows local users to gain…,"Unquoted Windows search path vulnerability in Musicmatch Jukebox 10.00.2047 and earlier allows local users to gain privileges via a malicious C:\program.exe file, which is run by MMFWLaunch.exe when it attempts to execute launch.exe.",See vendor advisory for CVE-2005-1185 and apply the corresponding patch/update.,0,tcp,2026-07-31,2026-08-03
530738,CVE-2005-1574,High,7.5,ENDPT-WIN-0008,10.20.112.8,endpt-win-0008.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Windows Media Player 9 and 10, in certain cases, allows content protected by Windows Media Digital Rights Management…","Windows Media Player 9 and 10, in certain cases, allows content protected by Windows Media Digital Rights Management (WMDRM) to redirect the user to a web site to obtain a license, even when the ""Acquire licenses automatically for protected content"" setting is not enabled.",See vendor advisory for CVE-2005-1574 and apply the corresponding patch/update.,0,tcp,2026-08-04,2026-08-03
195115,CVE-2005-1970,High,7.2,ENDPT-WIN-0009,10.20.112.9,endpt-win-0009.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Symantec pcAnywhere 10.5x and 11.x before 11.5, with ""Launch with Windows"" enabled, allows local users with physical…","Symantec pcAnywhere 10.5x and 11.x before 11.5, with ""Launch with Windows"" enabled, allows local users with physical access to execute arbitrary commands via the Caller Properties feature.",See vendor advisory for CVE-2005-1970 and apply the corresponding patch/update.,0,tcp,2026-07-05,2026-08-03
617069,CVE-2005-0773,High,7.5,ENDPT-WIN-0010,10.20.112.10,endpt-win-0010.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Stack-based buffer overflow in VERITAS Backup Exec Remote Agent 9.0 through 10.0 for Windows, and 9.0.4019 through…","Stack-based buffer overflow in VERITAS Backup Exec Remote Agent 9.0 through 10.0 for Windows, and 9.0.4019 through 9.1.307 for Netware allows remote attackers to execute arbitrary code via a CONNECT_CLIENT_AUTH request with authentication method type 3 (Windows credentials) and a long password argument.",See vendor advisory for CVE-2005-0773 and apply the corresponding patch/update.,0,tcp,2026-06-27,2026-08-02
770907,CVE-2005-0771,Critical,10.0,ENDPT-WIN-0011,10.20.112.11,endpt-win-0011.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),VERITAS Backup Exec Server (beserver.exe) 9.0 through 10.0 for Windows allows remote unauthenticated attackers to…,VERITAS Backup Exec Server (beserver.exe) 9.0 through 10.0 for Windows allows remote unauthenticated attackers to modify the registry by calling methods to the RPC interface on TCP port 6106.,See vendor advisory for CVE-2005-0771 and apply the corresponding patch/update.,0,tcp,2026-06-24,2026-08-02
336616,CVE-2005-0772,High,7.5,ENDPT-WIN-0012,10.20.112.12,endpt-win-0012.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"VERITAS Backup Exec 9.0 through 10.0 for Windows Servers, and 9.0.4019 through 9.1.307 for Netware, allows remote…","VERITAS Backup Exec 9.0 through 10.0 for Windows Servers, and 9.0.4019 through 9.1.307 for Netware, allows remote attackers to cause a denial of service (Remote Agent crash) via (1) a crafted packet in NDMLSRVR.DLL or (2) a request packet with an invalid (non-0) ""Error Status"" value, which triggers a null dereference.",See vendor advisory for CVE-2005-0772 and apply the corresponding patch/update.,0,tcp,2026-07-06,2026-08-03
979746,CVE-2005-1766,Medium,5.1,ENDPT-WIN-0013,10.20.112.13,endpt-win-0013.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Heap-based buffer overflow in rtffplin.cpp in RealPlayer 10.5 6.0.12.1056 on Windows, and 10, 10.0.1.436, and other…","Heap-based buffer overflow in rtffplin.cpp in RealPlayer 10.5 6.0.12.1056 on Windows, and 10, 10.0.1.436, and other versions before 10.0.5 on Linux, allows remote attackers to execute arbitrary code via a RealMedia file with a long RealText string, such as an SMIL file.",See vendor advisory for CVE-2005-1766 and apply the corresponding patch/update.,0,tcp,2026-07-16,2026-08-04
899592,CVE-2005-2080,High,7.5,ENDPT-WIN-0014,10.20.112.14,endpt-win-0014.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Unknown vulnerability in Remote Agent for Windows Servers (RAWS) in VERITAS Backup Exec 9.0 through 10.0 for Windows,…","Unknown vulnerability in Remote Agent for Windows Servers (RAWS) in VERITAS Backup Exec 9.0 through 10.0 for Windows, and 9.0.4019 through 9.1.307 for NetWare, allows remote attackers to gain privileges by copying the handle for the server.",See vendor advisory for CVE-2005-2080 and apply the corresponding patch/update.,0,tcp,2026-07-25,2026-08-04
781609,CVE-2005-2371,Medium,5.0,ENDPT-WIN-0015,10.20.112.15,endpt-win-0015.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Directory traversal vulnerability in Oracle Reports 6.0, 6i, 9i, and 10g allows remote attackers to overwrite…","Directory traversal vulnerability in Oracle Reports 6.0, 6i, 9i, and 10g allows remote attackers to overwrite arbitrary files via (1) "".."", (2) Windows drive letter (C:), and (3) absolute path sequences in the desname parameter. NOTE: this issue was probably fixed by REP06 in CPU Jan 2006, in which case it overlaps CVE-2006-0289.",See vendor advisory for CVE-2005-2371 and apply the corresponding patch/update.,0,tcp,2026-08-01,2026-08-04
226527,CVE-2005-2079,High,7.5,ENDPT-WIN-0016,10.20.112.16,endpt-win-0016.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),Heap-based buffer overflow in the Admin Plus Pack Option for VERITAS Backup Exec 9.0 through 10.0 for Windows Servers…,Heap-based buffer overflow in the Admin Plus Pack Option for VERITAS Backup Exec 9.0 through 10.0 for Windows Servers allows remote attackers to execute arbitrary code.,See vendor advisory for CVE-2005-2079 and apply the corresponding patch/update.,0,tcp,2026-07-28,2026-08-03
749555,CVE-2005-2611,Critical,10.0,ENDPT-WIN-0017,10.20.112.17,endpt-win-0017.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"VERITAS Backup Exec for Windows Servers 8.6 through 10.0, Backup Exec for NetWare Servers 9.0 and 9.1, and NetBackup…","VERITAS Backup Exec for Windows Servers 8.6 through 10.0, Backup Exec for NetWare Servers 9.0 and 9.1, and NetBackup for NetWare Media Server Option 4.5 through 5.1 uses a static password during authentication from the NDMP agent to the server, which allows remote attackers to read and write arbitrary files with the backup server.",See vendor advisory for CVE-2005-2611 and apply the corresponding patch/update.,0,tcp,2026-07-22,2026-08-04
993347,CVE-2005-2936,High,7.2,ENDPT-WIN-0018,10.20.112.18,endpt-win-0018.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"Unquoted Windows search path vulnerability in RealNetworks RealPlayer 10.5 6.0.12.1040 through 6.0.12.1348, RealPlayer…","Unquoted Windows search path vulnerability in RealNetworks RealPlayer 10.5 6.0.12.1040 through 6.0.12.1348, RealPlayer 10, RealOne Player v2, RealOne Player v1, and RealPlayer 8 before 20060322 might allow local users to gain privileges via a malicious C:\program.exe file.",See vendor advisory for CVE-2005-2936 and apply the corresponding patch/update.,0,tcp,2026-06-21,2026-08-03
654027,CVE-2005-4417,Medium,6.4,ENDPT-WIN-0019,10.20.112.19,endpt-win-0019.corp.deloitte.local,Windows 10 Enterprise (SCCM-managed),"The default configuration of Widcomm Bluetooth for Windows (BTW) 4.0.1.1500 and earlier, as installed on Belkin…","The default configuration of Widcomm Bluetooth for Windows (BTW) 4.0.1.1500 and earlier, as installed on Belkin Bluetooth Software 1.4.2 Build 10 and ANYCOM Blue USB-130-250 Software 4.0.1.1500, and possibly other devices, sets null Authentication and Authorization values, which allows remote attackers to send arbitrary audio and possibly eavesdrop using the microphone via the Hands Free Audio…",See vendor advisory for CVE-2005-4417 and apply the corresponding patch/update.,0,tcp,2026-07-12,2026-08-02
