Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
777411,CVE-2007-0045,Medium,4.3,WKS-0001,10.20.108.1,wks-0001.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,"Multiple cross-site scripting (XSS) vulnerabilities in Adobe Acrobat Reader Plugin before 8.0.0, and possibly the…","Multiple cross-site scripting (XSS) vulnerabilities in Adobe Acrobat Reader Plugin before 8.0.0, and possibly the plugin distributed with Adobe Reader 7.x before 7.1.4, 8.x before 8.1.7, and 9.x before 9.2, for Mozilla Firefox, Microsoft Internet Explorer 6 SP1, Google Chrome, Opera 8.5.4 build 770, and Opera 9.10.8679 on Windows allow remote attackers to inject arbitrary JavaScript and conduct…",See vendor advisory for CVE-2007-0045 and apply the corresponding patch/update.,0,tcp,2026-07-25,2026-08-01
430219,CVE-2007-0048,Medium,5.0,WKS-0002,10.20.108.2,wks-0002.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,"Adobe Acrobat Reader Plugin before 8.0.0, and possibly the plugin distributed with Adobe Reader 7.x before 7.1.4, 8.x…","Adobe Acrobat Reader Plugin before 8.0.0, and possibly the plugin distributed with Adobe Reader 7.x before 7.1.4, 8.x before 8.1.7, and 9.x before 9.2, when used with Internet Explorer, Google Chrome, or Opera, allows remote attackers to cause a denial of service (memory consumption) via a long sequence of # (hash) characters appended to a PDF URL, related to a ""cross-site scripting issue.""",See vendor advisory for CVE-2007-0048 and apply the corresponding patch/update.,0,tcp,2026-08-02,2026-08-03
169309,CVE-2008-4340,Medium,4.3,WKS-0003,10.20.108.3,wks-0003.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,Google Chrome 0.2.149.29 and 0.2.149.30 allows remote attackers to cause a denial of service (memory consumption) via…,"Google Chrome 0.2.149.29 and 0.2.149.30 allows remote attackers to cause a denial of service (memory consumption) via an HTML document containing a carriage return (""\r\n\r\n"") argument to the window.open function.",See vendor advisory for CVE-2008-4340 and apply the corresponding patch/update.,0,tcp,2026-07-13,2026-08-03
237221,CVE-2008-4724,Medium,4.3,WKS-0004,10.20.108.4,wks-0004.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,Multiple cross-site scripting (XSS) vulnerabilities in Google Chrome 0.2.149.30 allow remote attackers to inject…,"Multiple cross-site scripting (XSS) vulnerabilities in Google Chrome 0.2.149.30 allow remote attackers to inject arbitrary web script or HTML via an ftp:// URL for an HTML document within a (1) JPG, (2) PDF, or (3) TXT file. NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.",See vendor advisory for CVE-2008-4724 and apply the corresponding patch/update.,0,tcp,2026-07-28,2026-08-01
325295,CVE-2008-5749,Medium,6.8,WKS-0005,10.20.108.5,wks-0005.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,Argument injection vulnerability in Google Chrome 1.0.154.36 on Windows XP SP3 allows remote attackers to execute…,"Argument injection vulnerability in Google Chrome 1.0.154.36 on Windows XP SP3 allows remote attackers to execute arbitrary commands via the --renderer-path option in a chromehtml: URI. NOTE: a third party disputes this issue, stating that Chrome ""will ask for user permission"" and ""cannot launch the applet even [if] you have given out the permission.",See vendor advisory for CVE-2008-5749 and apply the corresponding patch/update.,0,tcp,2026-06-28,2026-08-01
717010,CVE-2008-5915,Low,2.1,WKS-0006,10.20.108.6,wks-0006.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,"An unspecified function in the JavaScript implementation in Google Chrome creates and exposes a ""temporary footprint""…","An unspecified function in the JavaScript implementation in Google Chrome creates and exposes a ""temporary footprint"" when there is a current login to a web site, which makes it easier for remote attackers to trick a user into acting upon a spoofed pop-up message, aka an ""in-session phishing attack."" NOTE: as of 20090116, the only disclosure is a vague pre-advisory with no actionable…",See vendor advisory for CVE-2008-5915 and apply the corresponding patch/update.,0,tcp,2026-07-19,2026-08-03
824289,CVE-2009-0374,Medium,4.3,WKS-0007,10.20.108.7,wks-0007.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action…,"Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action that moves a crafted element to the current mouse position, related to a ""Clickjacking"" vulnerability. NOTE: a third party disputes the relevance of this issue, stating that ""every sufficiently featured browser is and likely will remain susceptible to the behavior known as…",See vendor advisory for CVE-2009-0374 and apply the corresponding patch/update.,0,tcp,2026-07-30,2026-08-02
961706,CVE-2009-0276,Medium,5.0,WKS-0008,10.20.108.8,wks-0008.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,Cross-domain vulnerability in the V8 JavaScript engine in Google Chrome before 1.0.154.46 allows remote attackers to…,"Cross-domain vulnerability in the V8 JavaScript engine in Google Chrome before 1.0.154.46 allows remote attackers to bypass the Same Origin Policy via a crafted script that accesses another frame and reads its full URL and possibly other sensitive information, or modifies the URL of this frame.",See vendor advisory for CVE-2009-0276 and apply the corresponding patch/update.,0,tcp,2026-08-03,2026-08-02
775525,CVE-2009-0411,Medium,5.0,WKS-0009,10.20.108.9,wks-0009.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,Google Chrome before 1.0.154.46 does not properly restrict access from web pages to the (1) Set-Cookie and (2)…,"Google Chrome before 1.0.154.46 does not properly restrict access from web pages to the (1) Set-Cookie and (2) Set-Cookie2 HTTP response headers, which allows remote attackers to obtain sensitive information from cookies via XMLHttpRequest calls and other web script.",See vendor advisory for CVE-2009-0411 and apply the corresponding patch/update.,0,tcp,2026-07-04,2026-08-02
152066,CVE-2009-1412,High,7.8,WKS-0010,10.20.108.10,wks-0010.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,"Argument injection vulnerability in the chromehtml: protocol handler in Google Chrome before 1.0.154.59, when invoked…","Argument injection vulnerability in the chromehtml: protocol handler in Google Chrome before 1.0.154.59, when invoked by Internet Explorer, allows remote attackers to determine the existence of files, and open tabs for URLs that do not satisfy the IsWebSafeScheme restriction, via a web page that sets document.location to a chromehtml: value, as demonstrated by use of a (1) javascript: or (2)…",See vendor advisory for CVE-2009-1412 and apply the corresponding patch/update.,0,tcp,2026-06-26,2026-08-01
631287,CVE-2009-1413,Medium,4.3,WKS-0011,10.20.108.11,wks-0011.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,"Google Chrome 1.0.x does not cancel timeouts upon a page transition, which makes it easier for attackers to conduct…","Google Chrome 1.0.x does not cancel timeouts upon a page transition, which makes it easier for attackers to conduct Universal XSS attacks by calling setTimeout to trigger future execution of JavaScript code, and then modifying document.location to arrange for JavaScript execution in the context of an arbitrary web site. NOTE: this can be leveraged for a remote attack by exploiting a chromehtml:…",See vendor advisory for CVE-2009-1413 and apply the corresponding patch/update.,0,tcp,2026-06-23,2026-08-01
805962,CVE-2009-1414,Medium,4.3,WKS-0012,10.20.108.12,wks-0012.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,"Google Chrome 2.0.x lets modifications to the global object persist across a page transition, which makes it easier…","Google Chrome 2.0.x lets modifications to the global object persist across a page transition, which makes it easier for attackers to conduct Universal XSS attacks via unspecified vectors.",See vendor advisory for CVE-2009-1414 and apply the corresponding patch/update.,0,tcp,2026-07-05,2026-08-02
327356,CVE-2009-1514,Medium,5.0,WKS-0013,10.20.108.13,wks-0013.corp.deloitte.local,Windows 11 (client workstation) - Google Chrome,Google Chrome 1.0.154.53 allows remote attackers to cause a denial of service (NULL pointer dereference and…,Google Chrome 1.0.154.53 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a throw statement with a long exception value.,See vendor advisory for CVE-2009-1514 and apply the corresponding patch/update.,0,tcp,2026-07-15,2026-08-03
