Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
501201,CVE-1999-0428,High,7.5,WEB-PORTAL-0001,10.20.105.1,web-portal-0001.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),OpenSSL and SSLeay allow remote attackers to reuse SSL sessions and bypass access controls.,OpenSSL and SSLeay allow remote attackers to reuse SSL sessions and bypass access controls.,See vendor advisory for CVE-1999-0428 and apply the corresponding patch/update.,636,tcp,2026-07-12,2026-08-01
501202,CVE-2000-0535,Medium,5.0,WEB-PORTAL-0002,10.20.105.2,web-portal-0002.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),OpenSSL 0.9.4 and OpenSSH for FreeBSD do not properly check for the existence of the /dev/random or /dev/urandom…,"OpenSSL 0.9.4 and OpenSSH for FreeBSD do not properly check for the existence of the /dev/random or /dev/urandom devices, which are absent on FreeBSD Alpha systems, which causes them to produce weak keys which may be more easily broken.",See vendor advisory for CVE-2000-0535 and apply the corresponding patch/update.,443,tcp,2026-06-16,2026-08-02
501203,CVE-2001-1141,Medium,5.0,WEB-PORTAL-0003,10.20.105.3,web-portal-0003.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),The Pseudo-Random Number Generator (PRNG) in SSLeay and OpenSSL before 0.9.6b allows attackers to use the output of…,"The Pseudo-Random Number Generator (PRNG) in SSLeay and OpenSSL before 0.9.6b allows attackers to use the output of small PRNG requests to determine the internal state information, which could be used by attackers to predict future pseudo-random numbers.",See vendor advisory for CVE-2001-1141 and apply the corresponding patch/update.,443,tcp,2026-07-06,2026-08-02
501204,CVE-2002-0655,High,7.5,WEB-PORTAL-0004,10.20.105.4,web-portal-0004.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),"OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, does not properly handle ASCII representations of integers on…","OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, does not properly handle ASCII representations of integers on 64 bit platforms, which could allow attackers to cause a denial of service and possibly execute arbitrary code.",See vendor advisory for CVE-2002-0655 and apply the corresponding patch/update.,636,tcp,2026-06-22,2026-08-02
501205,CVE-2002-0656,High,7.5,WEB-PORTAL-0005,10.20.105.5,web-portal-0005.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),"Buffer overflows in OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, allow remote attackers to execute…","Buffer overflows in OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, allow remote attackers to execute arbitrary code via (1) a large client master key in SSL2 or (2) a large session ID in SSL3.",See vendor advisory for CVE-2002-0656 and apply the corresponding patch/update.,443,tcp,2026-06-07,2026-08-01
501206,CVE-2002-0657,High,7.5,WEB-PORTAL-0006,10.20.105.6,web-portal-0006.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),"Buffer overflow in OpenSSL 0.9.7 before 0.9.7-beta3, with Kerberos enabled, allows attackers to execute arbitrary code…","Buffer overflow in OpenSSL 0.9.7 before 0.9.7-beta3, with Kerberos enabled, allows attackers to execute arbitrary code via a long master key.",See vendor advisory for CVE-2002-0657 and apply the corresponding patch/update.,8443,tcp,2026-07-19,2026-08-03
501207,CVE-2002-0659,Medium,5.0,WEB-PORTAL-0007,10.20.105.7,web-portal-0007.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),"The ASN1 library in OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, allows remote attackers to cause a denial…","The ASN1 library in OpenSSL 0.9.6d and earlier, and 0.9.7-beta2 and earlier, allows remote attackers to cause a denial of service via invalid encodings.",See vendor advisory for CVE-2002-0659 and apply the corresponding patch/update.,8443,tcp,2026-06-07,2026-08-02
501208,CVE-2003-0078,Medium,5.0,WEB-PORTAL-0008,10.20.105.8,web-portal-0008.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),ssl3_get_record in s3_pkt.c for OpenSSL before 0.9.7a and 0.9.6 before 0.9.6i does not perform a MAC computation if an…,"ssl3_get_record in s3_pkt.c for OpenSSL before 0.9.7a and 0.9.6 before 0.9.6i does not perform a MAC computation if an incorrect block cipher padding is used, which causes an information leak (timing discrepancy) that may make it easier to launch cryptographic attacks that rely on distinguishing between padding and MAC verification errors, possibly leading to extraction of the original…",See vendor advisory for CVE-2003-0078 and apply the corresponding patch/update.,636,tcp,2026-06-05,2026-08-03
501209,CVE-2003-0131,High,7.5,WEB-PORTAL-0009,10.20.105.9,web-portal-0009.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),"The SSL and TLS components for OpenSSL 0.9.6i and earlier, 0.9.7, and 0.9.7a allow remote attackers to perform an…","The SSL and TLS components for OpenSSL 0.9.6i and earlier, 0.9.7, and 0.9.7a allow remote attackers to perform an unauthorized RSA private key operation via a modified Bleichenbacher attack that uses a large number of SSL or TLS connections using PKCS #1 v1.5 padding that cause OpenSSL to leak information regarding the relationship between ciphertext and the associated plaintext, aka the…",See vendor advisory for CVE-2003-0131 and apply the corresponding patch/update.,636,tcp,2026-06-23,2026-08-01
501210,CVE-2003-0147,Medium,5.0,WEB-PORTAL-0010,10.20.105.10,web-portal-0010.corp.example.local,Ubuntu Linux 22.04 (OpenSSL),"OpenSSL does not use RSA blinding by default, which allows local and remote attackers to obtain the server's private…","OpenSSL does not use RSA blinding by default, which allows local and remote attackers to obtain the server's private key by determining factors using timing differences on (1) the number of extra reductions during Montgomery reduction, and (2) the use of different integer multiplication algorithms (""Karatsuba"" and normal).",See vendor advisory for CVE-2003-0147 and apply the corresponding patch/update.,443,tcp,2026-07-13,2026-08-03
