Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
776875,,Critical,8.8,RUNTIME-LOGGING-AGENT-POD,10.20.114.1,logging-agent-pod.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Contact K8S API Server From Container,"A container process made a direct network connection to the Kubernetes API server, which is unusual for most workloads and can indicate an attempt at cluster-wide privilege escalation.",Restrict the workload's service account permissions and network policy so it cannot reach the API server unless genuinely required.,0,tcp,2026-06-26,2026-08-03
261240,,Medium,5.9,RUNTIME-WEB-FRONTEND-CONTAINER,10.20.114.2,web-frontend-container.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Read sensitive file trusted after startup,"A normally-trusted process read a sensitive file well after container startup, outside its expected initialization window.","Confirm this matches expected application behavior; if not, investigate for possible compromise of the trusted process.",0,tcp,2026-06-09,2026-08-02
772333,,Medium,6.5,RUNTIME-ML-INFERENCE-CONTAINER,10.20.114.3,ml-inference-container.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Read sensitive file untrusted,A process not on the expected allowlist read a sensitive file (e.g. /etc/shadow) inside the container.,Verify whether the reading process is legitimate; restrict file permissions and container user privileges to least privilege.,0,tcp,2026-07-11,2026-08-03
533025,,High,7.8,RUNTIME-SEARCH-INDEXER-CONTAINER,10.20.114.4,search-indexer-container.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Netcat Remote Code Execution in Container,The netcat utility was executed inside a container in a mode consistent with establishing a reverse or bind shell.,Investigate the container immediately for signs of remote command execution; remove netcat from production container images.,0,tcp,2026-07-19,2026-08-03
110493,,Medium,5.5,RUNTIME-PROD-API-GATEWAY-POD-01,10.20.114.5,prod-api-gateway-pod-01.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: PTRACE attached to process,"A process used ptrace to attach to another running process, a technique that can be used for legitimate debugging or for credential/memory inspection by an attacker.",Verify the attaching process is an authorized debugging tool; restrict the SYS_PTRACE capability for workloads that don't need it.,0,tcp,2026-06-08,2026-08-01
580230,,Low,3.9,RUNTIME-CHECKOUT-SERVICE-CONTAINER,10.20.114.6,checkout-service-container.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Disallowed SSH Connection Non Standard Port,"An outbound SSH connection was established from the container on a non-standard port, a pattern sometimes used to evade simple firewall rules.",Verify the connection is expected; restrict outbound network policy for the workload to only its required destinations/ports.,0,tcp,2026-07-20,2026-08-02
631166,,Critical,9.3,RUNTIME-QUEUE-CONSUMER-CONTAINER,10.20.114.7,queue-consumer-container.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Debugfs Launched in Privileged Container,"The debugfs kernel debugging tool was launched inside a privileged container, providing a path to escape container isolation and access the host filesystem.",Remove the privileged: true flag from the container spec and drop unnecessary Linux capabilities.,0,tcp,2026-06-14,2026-08-03
411241,,Medium,5.5,RUNTIME-LOGGING-AGENT-POD,10.20.114.8,logging-agent-pod.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: PTRACE attached to process,"A process used ptrace to attach to another running process, a technique that can be used for legitimate debugging or for credential/memory inspection by an attacker.",Verify the attaching process is an authorized debugging tool; restrict the SYS_PTRACE capability for workloads that don't need it.,0,tcp,2026-07-21,2026-08-01
626940,,High,8.0,RUNTIME-LOGGING-AGENT-POD,10.20.114.9,logging-agent-pod.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Drop and execute new binary in container,"A new executable file was written to disk and then executed inside the container, a common pattern for malware droppers rather than normal application behavior.",Investigate the dropped binary's origin; enforce a read-only root filesystem where possible to prevent this behavior outright.,0,tcp,2026-06-27,2026-08-01
914927,,Medium,5.9,RUNTIME-SEARCH-INDEXER-CONTAINER,10.20.114.10,search-indexer-container.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Read sensitive file trusted after startup,"A normally-trusted process read a sensitive file well after container startup, outside its expected initialization window.","Confirm this matches expected application behavior; if not, investigate for possible compromise of the trusted process.",0,tcp,2026-06-10,2026-08-03
301271,,Medium,6.3,RUNTIME-SEARCH-INDEXER-CONTAINER,10.20.114.11,search-indexer-container.corp.deloitte.local,Container/Pod (runtime security target),Falco rule: Find AWS Credentials,A process accessed a file path commonly used to store AWS credentials (e.g. ~/.aws/credentials) inside the container.,"Investigate for credential-harvesting behavior; use short-lived, workload-scoped IAM roles instead of static credential files.",0,tcp,2026-06-24,2026-08-01
