Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
721366,CVE-1999-1061,High,7.5,PRINTER-0001,10.20.114.1,printer-0001.corp.deloitte.local,HP LaserJet Firmware,"HP Laserjet printers with JetDirect cards, when configured with TCP/IP, can be configured without a password, which…","HP Laserjet printers with JetDirect cards, when configured with TCP/IP, can be configured without a password, which allows remote attackers to connect to the printer and change its IP address or disable logging.",See vendor advisory for CVE-1999-1061 and apply the corresponding patch/update.,443,tcp,2026-08-03,2026-08-02
693895,CVE-1999-1062,High,7.5,PRINTER-0002,10.20.114.2,printer-0002.corp.deloitte.local,HP LaserJet Firmware,"HP Laserjet printers with JetDirect cards, when configured with TCP/IP, allow remote attackers to bypass print filters…","HP Laserjet printers with JetDirect cards, when configured with TCP/IP, allow remote attackers to bypass print filters by directly sending PostScript documents to TCP ports 9099 and 9100.",See vendor advisory for CVE-1999-1062 and apply the corresponding patch/update.,0,tcp,2026-06-13,2026-08-04
503376,CVE-2001-1040,Medium,6.4,PRINTER-0003,10.20.114.3,printer-0003.corp.deloitte.local,HP LaserJet Firmware,"HP LaserJet, and possibly other JetDirect devices, resets the admin password when the device is turned off, which…","HP LaserJet, and possibly other JetDirect devices, resets the admin password when the device is turned off, which could allow remote attackers to access the device without the password.",See vendor advisory for CVE-2001-1040 and apply the corresponding patch/update.,80,tcp,2026-07-09,2026-08-02
451017,CVE-2002-1796,High,7.8,PRINTER-0004,10.20.114.4,printer-0004.corp.deloitte.local,HP LaserJet Firmware,ChaiVM EZloader for HP color LaserJet 4500 and 4550 and HP LaserJet 4100 and 8150 does not properly verify JAR…,"ChaiVM EZloader for HP color LaserJet 4500 and 4550 and HP LaserJet 4100 and 8150 does not properly verify JAR signatures for new services, which allows local users to load unauthorized Chai services.",See vendor advisory for CVE-2002-1796 and apply the corresponding patch/update.,443,tcp,2026-07-30,2026-08-02
662350,CVE-2002-1797,Medium,4.6,PRINTER-0005,10.20.114.5,printer-0005.corp.deloitte.local,HP LaserJet Firmware,ChaiVM for HP color LaserJet 4500 and 4550 or HP LaserJet 4100 and 8150 does not properly enforce access control…,"ChaiVM for HP color LaserJet 4500 and 4550 or HP LaserJet 4100 and 8150 does not properly enforce access control restrictions, which could allow local users to add, delete, or modify any services hosted by the ChaiServer.",See vendor advisory for CVE-2002-1797 and apply the corresponding patch/update.,80,tcp,2026-06-28,2026-08-03
956132,CVE-2004-2439,Medium,5.0,PRINTER-0006,10.20.114.6,printer-0006.corp.deloitte.local,HP LaserJet Firmware,"The remote upgrade capability in HP LaserJet 4200 and 4300 printers does not require a password, which allows remote…","The remote upgrade capability in HP LaserJet 4200 and 4300 printers does not require a password, which allows remote attackers to upgrade firmware.",See vendor advisory for CVE-2004-2439 and apply the corresponding patch/update.,0,tcp,2026-07-13,2026-08-04
159384,CVE-2005-2988,Medium,5.0,PRINTER-0007,10.20.114.7,printer-0007.corp.deloitte.local,HP LaserJet Firmware,"HP LaserJet 2430, and possibly other printers that use Jetdirect controls, stores information about recently printed…","HP LaserJet 2430, and possibly other printers that use Jetdirect controls, stores information about recently printed documents without proper protection, which could allow remote attackers to obtain sensitive information via SNMP.",See vendor advisory for CVE-2005-2988 and apply the corresponding patch/update.,80,tcp,2026-08-03,2026-08-04
510150,CVE-2006-1654,Medium,5.0,PRINTER-0008,10.20.114.8,printer-0008.corp.deloitte.local,HP LaserJet Firmware,Directory traversal vulnerability in the HP Color LaserJet 2500 Toolbox and Color LaserJet 4600 Toolbox on Microsoft…,Directory traversal vulnerability in the HP Color LaserJet 2500 Toolbox and Color LaserJet 4600 Toolbox on Microsoft Windows before 20060402 allows remote attackers to read arbitrary files via a .. (dot dot) in an HTTP GET request to TCP port 5225.,See vendor advisory for CVE-2006-1654 and apply the corresponding patch/update.,631,tcp,2026-07-04,2026-08-02
273304,CVE-2006-6742,High,7.8,PRINTER-0009,10.20.114.9,printer-0009.corp.deloitte.local,HP LaserJet Firmware,Multiple buffer overflows in FTP Print Server 2.4 and 2.4.5 in HP LaserJet 5000 Series printers with firmware R.25.15…,"Multiple buffer overflows in FTP Print Server 2.4 and 2.4.5 in HP LaserJet 5000 Series printers with firmware R.25.15 or R.25.47, and HP LaserJet 5100 Series printers with firmware V.29.12, allow remote attackers to cause a denial of service (device crash) via a long string in the (1) LIST or (2) NLST command.",See vendor advisory for CVE-2006-6742 and apply the corresponding patch/update.,0,tcp,2026-06-28,2026-08-02
518065,CVE-2008-4419,High,7.8,PRINTER-0010,10.20.114.10,printer-0010.corp.deloitte.local,HP LaserJet Firmware,Directory traversal vulnerability in the HP JetDirect web administration interface in the HP-ChaiSOE 1.0 embedded web…,"Directory traversal vulnerability in the HP JetDirect web administration interface in the HP-ChaiSOE 1.0 embedded web server on the LaserJet 9040mfp, LaserJet 9050mfp, and Color LaserJet 9500mfp before firmware 08.110.9; LaserJet 4345mfp and 9200C Digital Sender before firmware 09.120.9; Color LaserJet 4730mfp before firmware 46.200.9; LaserJet 2410, LaserJet 2420, and LaserJet 2430 before…",See vendor advisory for CVE-2008-4419 and apply the corresponding patch/update.,80,tcp,2026-06-07,2026-08-04
632195,CVE-2009-0940,Medium,5.1,PRINTER-0011,10.20.114.11,printer-0011.corp.deloitte.local,HP LaserJet Firmware,Multiple cross-site request forgery (CSRF) vulnerabilities in the HP Embedded Web Server (EWS) on HP LaserJet…,"Multiple cross-site request forgery (CSRF) vulnerabilities in the HP Embedded Web Server (EWS) on HP LaserJet Printers, Edgeline Printers, and Digital Senders allow remote attackers to hijack the intranet connectivity of arbitrary users for requests that (1) print documents via unknown vectors, (2) modify the network configuration via a NetIPChange request to…",See vendor advisory for CVE-2009-0940 and apply the corresponding patch/update.,0,tcp,2026-08-02,2026-08-02
442257,CVE-2009-0941,High,7.6,PRINTER-0012,10.20.114.12,printer-0012.corp.deloitte.local,HP LaserJet Firmware,"The HP Embedded Web Server (EWS) on HP LaserJet Printers, Edgeline Printers, and Digital Senders has no management…","The HP Embedded Web Server (EWS) on HP LaserJet Printers, Edgeline Printers, and Digital Senders has no management password by default, which makes it easier for remote attackers to obtain access.",See vendor advisory for CVE-2009-0941 and apply the corresponding patch/update.,0,tcp,2026-07-19,2026-08-04
610365,CVE-2009-2684,Medium,4.3,PRINTER-0013,10.20.114.13,printer-0013.corp.deloitte.local,HP LaserJet Firmware,Multiple cross-site scripting (XSS) vulnerabilities in Jetdirect and the Embedded Web Server (EWS) on certain HP…,"Multiple cross-site scripting (XSS) vulnerabilities in Jetdirect and the Embedded Web Server (EWS) on certain HP LaserJet and Color LaserJet printers, and HP Digital Senders, allow remote attackers to inject arbitrary web script or HTML via the (1) Product_URL or (2) Tech_URL parameter in an Apply action to the support_param.html/config script.",See vendor advisory for CVE-2009-2684 and apply the corresponding patch/update.,0,tcp,2026-06-15,2026-08-02
397470,CVE-2009-3842,Critical,10.0,PRINTER-0014,10.20.114.14,printer-0014.corp.deloitte.local,HP LaserJet Firmware,Unspecified vulnerability on the HP Color LaserJet M3530 Multifunction Printer with firmware 05.058.4 and the Color…,"Unspecified vulnerability on the HP Color LaserJet M3530 Multifunction Printer with firmware 05.058.4 and the Color LaserJet CP3525 Printer with firmware 53.021.2 allows remote attackers to obtain ""access to data"" or cause a denial of service via unknown vectors.",See vendor advisory for CVE-2009-3842 and apply the corresponding patch/update.,631,tcp,2026-08-04,2026-08-03
102050,CVE-2010-4107,High,7.8,PRINTER-0015,10.20.114.15,printer-0015.corp.deloitte.local,HP LaserJet Firmware,The default configuration of the PJL Access value in the File System External Access settings on HP LaserJet MFP…,"The default configuration of the PJL Access value in the File System External Access settings on HP LaserJet MFP printers, Color LaserJet MFP printers, and LaserJet 4100, 4200, 4300, 5100, 8150, and 9000 printers enables PJL commands that use the device's filesystem, which allows remote attackers to read arbitrary files via a command inside a print job, as demonstrated by a directory traversal…",See vendor advisory for CVE-2010-4107 and apply the corresponding patch/update.,631,tcp,2026-06-16,2026-08-03
209627,CVE-2011-4161,Critical,10.0,PRINTER-0016,10.20.114.16,printer-0016.corp.deloitte.local,HP LaserJet Firmware,"The default configuration of the HP CM8060 Color MFP with Edgeline; Color LaserJet 3xxx, 4xxx, 5550, 9500, CMxxxx,…","The default configuration of the HP CM8060 Color MFP with Edgeline; Color LaserJet 3xxx, 4xxx, 5550, 9500, CMxxxx, CPxxxx, and Enterprise CPxxxx; Digital Sender 9200c and 9250c; LaserJet 4xxx, 5200, 90xx, Mxxxx, and Pxxxx; and LaserJet Enterprise 500 color M551, 600, M4555 MFP, and P3015 enables the Remote Firmware Update (RFU) setting, which allows remote attackers to execute arbitrary code by…",See vendor advisory for CVE-2011-4161 and apply the corresponding patch/update.,80,tcp,2026-07-20,2026-08-04
519251,CVE-2011-4785,High,7.8,PRINTER-0017,10.20.114.17,printer-0017.corp.deloitte.local,HP LaserJet Firmware,Directory traversal vulnerability in the HP-ChaiSOE/1.0 web server on the HP LaserJet P3015 printer with firmware…,"Directory traversal vulnerability in the HP-ChaiSOE/1.0 web server on the HP LaserJet P3015 printer with firmware before 07.080.3, LaserJet 4650 printer with firmware 07.006.0, and LaserJet 2430 printer with firmware 08.113.0_I35128 allows remote attackers to read arbitrary files via unspecified vectors, a different vulnerability than CVE-2008-4419.",See vendor advisory for CVE-2011-4785 and apply the corresponding patch/update.,0,tcp,2026-07-21,2026-08-04
120477,CVE-2012-3272,Medium,4.3,PRINTER-0018,10.20.114.18,printer-0018.corp.deloitte.local,HP LaserJet Firmware,"Cross-site scripting (XSS) vulnerability on the HP Color LaserJet CM3530 with firmware before 53.190.9, Color LaserJet…","Cross-site scripting (XSS) vulnerability on the HP Color LaserJet CM3530 with firmware before 53.190.9, Color LaserJet CM60xx with firmware before 52.210.9, Color LaserJet CP3525 with firmware before 06.140.3 18, Color LaserJet CP4xxx with firmware before 07.120.6, Color LaserJet CP6015 with firmware before 04.160.3, LaserJet P3015 with firmware before 07.140.3, and LaserJet P4xxx with firmware…",See vendor advisory for CVE-2012-3272 and apply the corresponding patch/update.,80,tcp,2026-06-18,2026-08-02
153574,CVE-2012-3273,Medium,5.0,PRINTER-0019,10.20.114.19,printer-0019.corp.deloitte.local,HP LaserJet Firmware,Multiple unspecified vulnerabilities on the HP LaserJet Pro 400 MFP M425 with firmware 20120625 and LaserJet 400 M401…,Multiple unspecified vulnerabilities on the HP LaserJet Pro 400 MFP M425 with firmware 20120625 and LaserJet 400 M401 with firmware 20120621 allow remote attackers to obtain sensitive information via unknown vectors.,See vendor advisory for CVE-2012-3273 and apply the corresponding patch/update.,631,tcp,2026-06-07,2026-08-03
409254,CVE-2012-5215,High,8.8,PRINTER-0020,10.20.114.20,printer-0020.corp.deloitte.local,HP LaserJet Firmware,"Unspecified vulnerability on the HP LaserJet Pro M1212nf, M1213nf, M1214nfh, M1216nfh, M1217nfw, and M1219nf, and…","Unspecified vulnerability on the HP LaserJet Pro M1212nf, M1213nf, M1214nfh, M1216nfh, M1217nfw, and M1219nf, and HotSpot LaserJet Pro M1218nfs, with firmware before 20130211; LaserJet Pro CP1025nw with firmware before 20130212; and LaserJet Pro P1102w and P1606dn with firmware before 20130213 allows remote attackers to modify data or cause a denial of service via unknown vectors.",See vendor advisory for CVE-2012-5215 and apply the corresponding patch/update.,631,tcp,2026-07-01,2026-08-02
678445,CVE-2012-5221,Medium,5.0,PRINTER-0021,10.20.114.21,printer-0021.corp.deloitte.local,HP LaserJet Firmware,"Directory traversal vulnerability in the PostScript Interpreter, as used on the HP LaserJet 4xxx, 5200, 90xx, M30xx,…","Directory traversal vulnerability in the PostScript Interpreter, as used on the HP LaserJet 4xxx, 5200, 90xx, M30xx, M4345, M50xx, M90xx, P3005, and P4xxx; LaserJet Enterprise P3015; Color LaserJet 3xxx, 47xx, 5550, 9500, CM60xx, CP35xx, CP4005, and CP6015; Color LaserJet Enterprise CP4xxx; and 9250c Digital Sender with model-dependent firmware through 52.x allows remote attackers to read…",See vendor advisory for CVE-2012-5221 and apply the corresponding patch/update.,631,tcp,2026-06-17,2026-08-02
328701,CVE-2013-4807,High,7.8,PRINTER-0022,10.20.114.22,printer-0022.corp.deloitte.local,HP LaserJet Firmware,"Unspecified vulnerability on the HP LaserJet Pro P1102w, P1606dn, M1212nf MFP, M1213nf MFP, M1214nfh MFP, M1216nfh…","Unspecified vulnerability on the HP LaserJet Pro P1102w, P1606dn, M1212nf MFP, M1213nf MFP, M1214nfh MFP, M1216nfh MFP, M1217nfw MFP, M1218nfs MFP, and CP1025nw with firmware before 2013-07-26 20130703 allows remote attackers to modify data via unknown vectors.",See vendor advisory for CVE-2013-4807 and apply the corresponding patch/update.,631,tcp,2026-07-19,2026-08-03
927718,CVE-2013-4828,Medium,4.3,PRINTER-0023,10.20.114.23,printer-0023.corp.deloitte.local,HP LaserJet Firmware,"HP LaserJet M4555, M525, and M725; LaserJet flow MFP M525c; LaserJet Enterprise color flow MFP M575c; Color LaserJet…","HP LaserJet M4555, M525, and M725; LaserJet flow MFP M525c; LaserJet Enterprise color flow MFP M575c; Color LaserJet CM4540, M575, and M775; and ScanJet Enterprise 8500fn1 FutureSmart devices do not properly encrypt PDF documents, which allows remote attackers to obtain sensitive information via unspecified vectors.",See vendor advisory for CVE-2013-4828 and apply the corresponding patch/update.,443,tcp,2026-07-05,2026-08-02
919526,CVE-2013-4829,Low,1.5,PRINTER-0024,10.20.114.24,printer-0024.corp.deloitte.local,HP LaserJet Firmware,"HP LaserJet M4555, M525, and M725; LaserJet flow MFP M525c; LaserJet Enterprise color flow MFP M575c; Color LaserJet…","HP LaserJet M4555, M525, and M725; LaserJet flow MFP M525c; LaserJet Enterprise color flow MFP M575c; Color LaserJet CM4540, M575, and M775; and ScanJet Enterprise 8500fn1 FutureSmart devices allow local users to read images of arbitrary scanned documents via unspecified vectors.",See vendor advisory for CVE-2013-4829 and apply the corresponding patch/update.,0,tcp,2026-07-01,2026-08-03
600240,CVE-2013-6193,Medium,5.0,PRINTER-0025,10.20.114.25,printer-0025.corp.deloitte.local,HP LaserJet Firmware,"Unspecified vulnerability on HP LaserJet M1522n and M2727; LaserJet Pro 100, 300, 400, CM1415fnw, CP1*, M121*,…","Unspecified vulnerability on HP LaserJet M1522n and M2727; LaserJet Pro 100, 300, 400, CM1415fnw, CP1*, M121*, M1536dnf, and P1*; Color LaserJet CM* and CP*; and TopShot LaserJet Pro M275 printers allows remote attackers to cause a denial of service via unknown vectors.",See vendor advisory for CVE-2013-6193 and apply the corresponding patch/update.,443,tcp,2026-07-15,2026-08-02
261664,CVE-2014-7875,Critical,9.0,PRINTER-0026,10.20.114.26,printer-0026.corp.deloitte.local,HP LaserJet Firmware,Unspecified vulnerability on the HP LaserJet CM3530 Multifunction Printer CC519A and CC520A with firmware before…,"Unspecified vulnerability on the HP LaserJet CM3530 Multifunction Printer CC519A and CC520A with firmware before 53.236.2 allows remote attackers to obtain sensitive information, modify data, or cause a denial of service via unknown vectors.",See vendor advisory for CVE-2014-7875 and apply the corresponding patch/update.,0,tcp,2026-07-24,2026-08-04
671801,CVE-2016-2244,Medium,5.9,PRINTER-0027,10.20.114.27,printer-0027.corp.deloitte.local,HP LaserJet Firmware,HP LaserJet printers and MFPs and OfficeJet Enterprise printers with firmware before 3.7.01 allow remote attackers to…,HP LaserJet printers and MFPs and OfficeJet Enterprise printers with firmware before 3.7.01 allow remote attackers to obtain sensitive information via unspecified vectors.,See vendor advisory for CVE-2016-2244 and apply the corresponding patch/update.,0,tcp,2026-06-16,2026-08-02
956989,CVE-2017-2743,Medium,6.1,PRINTER-0028,10.20.114.28,printer-0028.corp.deloitte.local,HP LaserJet Firmware,"HP has identified a potential security vulnerability with HP Enterprise LaserJet Printers and MFPs, HP OfficeJet…","HP has identified a potential security vulnerability with HP Enterprise LaserJet Printers and MFPs, HP OfficeJet Enterprise Color Printers and MFP, HP PageWide Color Printers and MPS before 2308214_000901, 2308214_000900, and other firmware versions. The vulnerability could be exploited to perform a cross site scripting (XSS) attack.",See vendor advisory for CVE-2017-2743 and apply the corresponding patch/update.,9100,tcp,2026-06-14,2026-08-04
899018,CVE-2017-2750,Critical,9.8,PRINTER-0029,10.20.114.29,printer-0029.corp.deloitte.local,HP LaserJet Firmware,Insufficient Solution DLL Signature Validation allows potential execution of arbitrary code in HP LaserJet Enterprise…,"Insufficient Solution DLL Signature Validation allows potential execution of arbitrary code in HP LaserJet Enterprise printers, HP PageWide Enterprise printers, HP LaserJet Managed printers, HP OfficeJet Enterprise printers before 2308937_578479, 2405087_018548, and other firmware versions.",See vendor advisory for CVE-2017-2750 and apply the corresponding patch/update.,443,tcp,2026-07-01,2026-08-02
364987,CVE-2018-5923,Critical,9.8,PRINTER-0030,10.20.114.30,printer-0030.corp.deloitte.local,HP LaserJet Firmware,"In HP LaserJet Enterprise, HP PageWide Enterprise, HP LaserJet Managed, and HP OfficeJet Enterprise Printers, solution…","In HP LaserJet Enterprise, HP PageWide Enterprise, HP LaserJet Managed, and HP OfficeJet Enterprise Printers, solution application signature checking may allow potential execution of arbitrary code.",See vendor advisory for CVE-2018-5923 and apply the corresponding patch/update.,0,tcp,2026-07-25,2026-08-04
403455,CVE-2019-6318,Critical,9.8,PRINTER-0031,10.20.114.31,printer-0031.corp.deloitte.local,HP LaserJet Firmware,"HP LaserJet Enterprise printers, HP PageWide Enterprise printers, HP LaserJet Managed printers, HP Officejet…","HP LaserJet Enterprise printers, HP PageWide Enterprise printers, HP LaserJet Managed printers, HP Officejet Enterprise printers have an insufficient solution bundle signature validation that potentially allows execution of arbitrary code.",See vendor advisory for CVE-2019-6318 and apply the corresponding patch/update.,80,tcp,2026-06-22,2026-08-03
805676,CVE-2019-6323,Medium,6.1,PRINTER-0032,10.20.114.32,printer-0032.corp.deloitte.local,HP LaserJet Firmware,"HP Color LaserJet Pro M280-M281 Multifunction Printer series (before v. 20190419), HP LaserJet Pro MFP M28-M31 Printer…","HP Color LaserJet Pro M280-M281 Multifunction Printer series (before v. 20190419), HP LaserJet Pro MFP M28-M31 Printer series (before v. 20190426) may have an embedded web server potentially vulnerable to reflected XSS in wireless configuration page.",See vendor advisory for CVE-2019-6323 and apply the corresponding patch/update.,9100,tcp,2026-08-04,2026-08-02
