Plugin ID,CVE,Risk,CVSS v3.0 Base Score,Host,IP Address,FQDN,OS,Name,Synopsis,Solution,Port,Protocol,First Discovered,Last Observed
748450,CVE-2008-0967,Medium,6.9,VHOST-0001,10.20.115.1,vhost-0001.corp.deloitte.local,VMware ESXi 8.x,Untrusted search path vulnerability in vmware-authd in VMware Workstation 5.x before 5.5.7 build 91707 and 6.x before…,"Untrusted search path vulnerability in vmware-authd in VMware Workstation 5.x before 5.5.7 build 91707 and 6.x before 6.0.4 build 93057, VMware Player 1.x before 1.0.7 build 91707 and 2.x before 2.0.4 build 93057, and VMware Server before 1.0.6 build 91891 on Linux, and VMware ESXi 3.5 and VMware ESX 2.5.4 through 3.5, allows local users to gain privileges via a library path option in a…",See vendor advisory for CVE-2008-0967 and apply the corresponding patch/update.,0,tcp,2026-07-02,2026-08-04
924955,CVE-2008-2097,Critical,9.0,VHOST-0002,10.20.115.2,vhost-0002.corp.deloitte.local,VMware ESXi 8.x,Buffer overflow in the openwsman management service in VMware ESXi 3.5 and ESX 3.5 allows remote authenticated users…,"Buffer overflow in the openwsman management service in VMware ESXi 3.5 and ESX 3.5 allows remote authenticated users to gain privileges via an ""invalid Content-Length.""",See vendor advisory for CVE-2008-2097 and apply the corresponding patch/update.,443,tcp,2026-07-30,2026-08-03
123120,CVE-2008-2100,High,7.2,VHOST-0003,10.20.115.3,vhost-0003.corp.deloitte.local,VMware ESXi 8.x,"Multiple buffer overflows in VIX API 1.1.x before 1.1.4 build 93057 on VMware Workstation 5.x and 6.x, VMware Player…","Multiple buffer overflows in VIX API 1.1.x before 1.1.4 build 93057 on VMware Workstation 5.x and 6.x, VMware Player 1.x and 2.x, VMware ACE 2.x, VMware Server 1.x, VMware Fusion 1.x, VMware ESXi 3.5, and VMware ESX 3.0.1 through 3.5 allow guest OS users to execute arbitrary code on the host OS via unspecified vectors.",See vendor advisory for CVE-2008-2100 and apply the corresponding patch/update.,8006,tcp,2026-08-01,2026-08-04
995406,CVE-2008-4281,Critical,9.3,VHOST-0004,10.20.115.4,vhost-0004.corp.deloitte.local,VMware ESXi 8.x,Directory traversal vulnerability in VMWare ESXi 3.5 before ESXe350-200810401-O-UG and ESX 3.5 before…,Directory traversal vulnerability in VMWare ESXi 3.5 before ESXe350-200810401-O-UG and ESX 3.5 before ESX350-200810201-UG allows administrators with the Datastore.FileManagement privilege to gain privileges via unknown vectors.,See vendor advisory for CVE-2008-4281 and apply the corresponding patch/update.,902,tcp,2026-06-10,2026-08-04
314138,CVE-2008-4915,Medium,6.9,VHOST-0005,10.20.115.5,vhost-0005.corp.deloitte.local,VMware ESXi 8.x,The CPU hardware emulation in VMware Workstation 6.0.5 and earlier and 5.5.8 and earlier; Player 2.0.x through 2.0.5…,"The CPU hardware emulation in VMware Workstation 6.0.5 and earlier and 5.5.8 and earlier; Player 2.0.x through 2.0.5 and 1.0.x through 1.0.8; ACE 2.0.x through 2.0.5 and earlier, and 1.0.x through 1.0.7; Server 1.0.x through 1.0.7; ESX 2.5.4 through 3.5; and ESXi 3.5, when running 32-bit and 64-bit guest operating systems, does not properly handle the Trap flag, which allows authenticated guest…",See vendor advisory for CVE-2008-4915 and apply the corresponding patch/update.,0,tcp,2026-06-13,2026-08-03
989604,CVE-2008-4917,High,7.2,VHOST-0006,10.20.115.6,vhost-0006.corp.deloitte.local,VMware ESXi 8.x,"Unspecified vulnerability in VMware Workstation 5.5.8 and earlier, and 6.0.5 and earlier 6.x versions; VMware Player…","Unspecified vulnerability in VMware Workstation 5.5.8 and earlier, and 6.0.5 and earlier 6.x versions; VMware Player 1.0.8 and earlier, and 2.0.5 and earlier 2.x versions; VMware Server 1.0.9 and earlier; VMware ESXi 3.5; and VMware ESX 3.0.2 through 3.5 allows guest OS users to have an unknown impact by sending the virtual hardware a request that triggers an arbitrary physical-memory write…",See vendor advisory for CVE-2008-4917 and apply the corresponding patch/update.,8006,tcp,2026-06-17,2026-08-03
467744,CVE-2008-4914,Medium,4.7,VHOST-0007,10.20.115.7,vhost-0007.corp.deloitte.local,VMware ESXi 8.x,Unspecified vulnerability in VMware ESXi 3.5 before ESXe350-200901401-I-SG and ESX 3.5 before ESX350-200901401-SG…,Unspecified vulnerability in VMware ESXi 3.5 before ESXe350-200901401-I-SG and ESX 3.5 before ESX350-200901401-SG allows local administrators to cause a denial of service (host crash) via a snapshot with a malformed VMDK delta disk.,See vendor advisory for CVE-2008-4914 and apply the corresponding patch/update.,0,tcp,2026-07-30,2026-08-03
222611,CVE-2008-4916,Medium,4.6,VHOST-0008,10.20.115.8,vhost-0008.corp.deloitte.local,VMware ESXi 8.x,"Unspecified vulnerability in a guest virtual device driver in VMware Workstation before 5.5.9 build 126128, and 6.5.1…","Unspecified vulnerability in a guest virtual device driver in VMware Workstation before 5.5.9 build 126128, and 6.5.1 and earlier 6.x versions; VMware Player before 1.0.9 build 126128, and 2.5.1 and earlier 2.x versions; VMware ACE before 1.0.8 build 125922, and 2.5.1 and earlier 2.x versions; VMware Server 1.x before 1.0.8 build 126538 and 2.0.x before 2.0.1 build 156745; VMware Fusion before…",See vendor advisory for CVE-2008-4916 and apply the corresponding patch/update.,0,tcp,2026-07-02,2026-08-03
106471,CVE-2009-0518,Low,2.1,VHOST-0009,10.20.115.9,vhost-0009.corp.deloitte.local,VMware ESXi 8.x,"VI Client in VMware VirtualCenter before 2.5 Update 4, VMware ESXi 3.5 before Update 4, and VMware ESX 3.5 before…","VI Client in VMware VirtualCenter before 2.5 Update 4, VMware ESXi 3.5 before Update 4, and VMware ESX 3.5 before Update 4 retains the VirtualCenter Server password in process memory, which might allow local users to obtain this password.",See vendor advisory for CVE-2009-0518 and apply the corresponding patch/update.,443,tcp,2026-07-04,2026-08-04
830693,CVE-2009-1244,Medium,6.8,VHOST-0010,10.20.115.10,vhost-0010.corp.deloitte.local,VMware ESXi 8.x,Unspecified vulnerability in the virtual machine display function in VMware Workstation 6.5.1 and earlier; VMware…,"Unspecified vulnerability in the virtual machine display function in VMware Workstation 6.5.1 and earlier; VMware Player 2.5.1 and earlier; VMware ACE 2.5.1 and earlier; VMware Server 1.x before 1.0.9 build 156507 and 2.x before 2.0.1 build 156745; VMware Fusion before 2.0.4 build 159196; VMware ESXi 3.5; and VMware ESX 3.0.2, 3.0.3, and 3.5 allows guest OS users to execute arbitrary code on the…",See vendor advisory for CVE-2009-1244 and apply the corresponding patch/update.,8006,tcp,2026-07-06,2026-08-04
